,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.013211416784889574,Nodes on fire,0.4740700459683649,4.583871841430664,"[0.9109180100228769, 0.033063327899344186, 0.6574894951211646, 0.7352670517348561, 0.36869113759871486]","[0.7197397449159816, 0.33375763793311874, 0.6217552621791694, 0.8465441512914863, 0.519536461459599]","[0.37078809590100936, 0.49989064507975356, 0.3557458151253946, 0.09459551619587891, 0.32482129163676066]","[0.965238771528902, 0.338893532654744, 0.799619206871061, 0.8568199658433875, 0.2492975566989264]","[0.9732403581542658, 0.4513760259100218, 0.42357093432683224, 0.4396281647629081, 0.8258713176643877]","[0.8231463061173131, 0.8790941156426594, 0.15624134515385613, 0.2603468683597314, 0.5276615999865155]","[0.4813647303282671, 0.1779309003046634, 0.17410896106073015, 0.664152557047106, 0.6799035583106168]","[0.5809502246635937, 0.6493179918249641, 0.7851292548581936, 0.4022097412302046, 0.8391499043377361]","[0.5165961982089385, 0.21030466915449886, 0.39978011606958785, 0.7064840651080009, 0.7733490594975666]","[0.15784430662195292, 0.060269103159592, 0.4060468833374944, 0.6879466770063444, 0.2958486476313519]",LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG
1,10,10,100,2,Time,0.01542799613319279,Nodes on fire,0.005286853988711537,4.583871841430664,"[0.019738481689480225, 0.6802563901164733, 0.8315519058137191, 0.8712302306372938, 0.1593576426601414]","[0.12497672863388554, 0.2130145228163003, 0.6870606815401613, 0.4488377870554965, 0.8908627093249122]","[0.14121207432323923, 0.2101849661400761, 0.5215856555775534, 0.5646035802108991, 0.09875524577008932]","[0.1515394033703712, 0.6822169562727725, 0.3971813326000079, 0.07061703790403562, 0.5492243453995606]","[0.594616212776235, 0.3933558035385878, 0.09572793073730512, 0.45352314759393353, 0.6206587276017077]","[0.1798243705935817, 0.9396727061444801, 0.7948581692127882, 0.9996679935463725, 0.6995649358958441]","[0.669465234359513, 0.3477434095898385, 0.8579766544480729, 0.9022715130326592, 0.5227000699684704]","[0.08481146919295313, 0.2204224091425918, 0.3686155348280187, 0.30092993296107595, 0.6664469847974088]","[0.8194638847326859, 0.6642229351332916, 0.6134383708574467, 0.8995442603772413, 0.1103759166909305]","[0.10833846413355719, 0.691322424737743, 0.6536554099713073, 0.3404787591374284, 0.580602971007612]",LDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG
2,10,10,100,2,Time,0.27805785886102297,Nodes on fire,0.0017379616995181202,4.583871841430664,"[0.3663863850322273, 0.7596749892430346, 0.7446833591932465, 0.1976588018982508, 0.6926678233213586]","[0.6137572350751964, 0.7360137645964968, 0.3738177300019183, 0.6240679286863355, 0.7805957244575842]","[0.373497015738425, 0.6110914842455831, 0.5335503775624162, 0.06235382420769486, 0.259827717551003]","[0.12260117320567532, 0.6763646067434481, 0.9887380540907931, 0.43522352963724165, 0.787146162660012]","[0.7955712067875236, 0.6094366498261702, 0.5861879436950744, 0.5352471646009813, 0.3529296069942257]","[0.9539701072938563, 0.12569194434759934, 0.08811496823207776, 0.21092914198411183, 0.4906307901217771]","[0.3024963469538886, 0.1456856194902736, 0.6146541150818418, 0.7583788516933346, 0.3204946229960324]","[0.4113879135901244, 0.4116741013409634, 0.3866873103345534, 0.5273757614260358, 0.6703744507331353]","[0.28839322256751365, 0.2943616160565292, 0.6116730649958667, 0.18912198475639064, 0.45676565533381797]","[0.19819611426958517, 0.7840043975392469, 0.8326608731423577, 0.5730275692662262, 0.3893343939503925]",LDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG
3,10,10,100,2,Time,0.014532586570658035,Nodes on fire,0.47255055795692424,4.583871841430664,"[0.28808402233667463, 0.7544845322372971, 0.23285905363480375, 0.31242137633815925, 0.7980760961855097]","[0.9031424677729352, 0.43021477615823966, 0.005472946579436755, 0.16804016248566456, 0.42008303723316764]","[0.18902138291080095, 0.957393818683241, 0.06223099789700992, 0.3391057239236338, 0.07075429331394201]","[0.38347127744770115, 0.36458055184263227, 0.16732223463446638, 0.6549339818469971, 0.7438042752630526]","[0.6519850969766287, 0.2362214635512606, 0.8104753306805267, 0.8047103758017398, 0.56999697984073]","[0.8287824151243097, 0.9733814498373182, 0.1683043350289718, 0.7096508467611395, 0.29317912479263764]","[0.12114140821320252, 0.9802701980651299, 0.8281509555071904, 0.4271838491058483, 0.9662080029372733]","[0.5507945075467988, 0.04357045824509864, 0.011196094580553595, 0.9769803742855822, 0.8709349125083454]","[0.4381634791974379, 0.8379376027550797, 0.4556521507588298, 0.9186875719014157, 0.5705480948186604]","[0.5395988989920569, 0.7613733842435223, 0.0421502928086569, 0.8644724122268599, 0.08097205989464074]",LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG
4,10,10,100,2,Time,0.002399926224139537,Nodes on fire,0.5756499191674521,4.583871841430664,"[0.029722404591830953, 0.9332238789877816, 0.8417668585489642, 0.22713041920809607, 0.5128044697638977]","[0.6069759841671365, 0.9340534771718418, 0.4417122346524477, 0.7312938753410839, 0.10733030852103287]","[0.10292992948430335, 0.11500621516939269, 0.8165462160908847, 0.904371362043559, 0.1678762645200379]","[0.3148465205729887, 0.576434804349943, 0.9138953767653872, 0.5677602669633294, 0.4398166968950634]","[0.7405596529360999, 0.5597509998800894, 0.0813430606810368, 0.8965831591412124, 0.7331283083844554]","[0.31715581176328544, 0.08966443432457827, 0.36739802201287974, 0.2740087290694996, 0.9603331587165111]","[0.4473339631673944, 0.8105242557799907, 0.16027939996397744, 0.004106774334568408, 0.8913778867259038]","[0.006914132892742897, 0.8322709737500581, 0.21419319908266288, 0.37643060713245957, 0.7334328946532466]","[0.8985211424016899, 0.5504863477776443, 0.5339018088161043, 0.6702816053958002, 0.7404234775065771]","[0.7518810496521053, 0.850644427886215, 0.884499751479971, 0.2369450254131148, 0.7757329340058842]",LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG
5,10,10,100,2,Time,0.0014452144295550307,Nodes on fire,0.7886571238242801,4.583871841430664,"[0.3971642022369468, 0.6193957656993032, 0.1679299044359407, 0.717869735737623, 0.6402062016297559]","[0.48606122259234374, 0.15546121680121772, 0.6682549721282162, 0.8695527074394073, 0.8719632457369156]","[0.6707825965347936, 0.4524374858712624, 0.2132133628116567, 0.04158654583089261, 0.5833111939049058]","[0.05063156951725145, 0.1261972000490209, 0.6286036449657394, 0.33348241568053694, 0.5856311272457579]","[0.561342416636688, 0.74158633595867, 0.3672375984645174, 0.8219649517855293, 0.5545483222765825]","[0.9755294042405978, 0.15286856424904027, 0.2714595330536841, 0.261625955487762, 0.15321882117394292]","[0.40843980729839935, 0.6057490399833877, 0.8829227581917686, 0.6684997269814471, 0.3093319165870281]","[0.7024502272564161, 0.23115136593067875, 0.914264486230607, 0.029799081937692984, 0.7310235917117517]","[0.21958413696789092, 0.1402684634347131, 0.7972854613751983, 0.9454058300699313, 0.5951326389213972]","[0.13816549602074502, 0.999066389531682, 0.967211522519608, 0.31081257857678946, 0.38747954670480045]",GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG
6,10,10,100,2,Time,0.676757214978776,Nodes on fire,0.00014860956900808464,4.583871841430664,"[0.6683861438587836, 0.6843176137209298, 0.3847615322839941, 0.8944488407941239, 0.25849936284571995]","[0.20138070931688057, 0.6835296857595207, 0.714699538966187, 0.8628854441087933, 0.8056356804059809]","[0.8751356480744747, 0.8508341985785, 0.6657184196374893, 0.07644785598750636, 0.6570223123465497]","[0.49167509842881285, 0.21616744136173116, 0.44658373527211626, 0.8034829415420658, 0.024162961233643032]","[0.5901099620412654, 0.6837550161738292, 0.9329847840547868, 0.050030413995689416, 0.20759418990132605]","[0.3065953259539683, 0.28201121852073374, 0.7997249006105527, 0.4029602323856968, 0.698283149237966]","[0.9848115436818146, 0.3419408918257034, 0.49450397636905485, 0.08348118867162901, 0.1785611849358083]","[0.8264225341062165, 0.42662708143956496, 0.5618031835125931, 0.5802659667418076, 0.06738933469178898]","[0.31195473367641857, 0.24785373552172862, 0.341927598632639, 0.8240799492963138, 0.733236219018019]","[0.40923407895366937, 0.28209290255929587, 0.8512894544433818, 0.5549681649837369, 0.24786072943403636]",LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG
