,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.09273737120386982,Nodes on fire,0.0043321908216710225,5.088552951812744,"[0.42009282066842135, 0.019417558957338765, 0.9477908967895614, 0.3232639105105668, 0.3081610113220544]","[0.9319423635502496, 0.010510686371594025, 0.7700886007683303, 0.22747513773503392, 0.9865837095471129]","[0.9789988531784628, 0.09850984288755826, 0.18342615203370127, 0.06842926927733972, 0.6060831455273055]","[0.48382995640669935, 0.9066551903207603, 0.9940681438335317, 0.06960527014949058, 0.551848111524163]","[0.644682118247307, 0.5926514642423254, 0.683274187257081, 0.6830485795894023, 0.8261246874539453]","[0.9781473251457532, 0.39679531383794364, 0.826015581157891, 0.6778157374442514, 0.23206874048646742]","[0.9939620760460394, 0.8629243980249036, 0.9112240403408913, 0.6292213198114365, 0.8789685934370521]","[0.09353968987742312, 0.16478926789234538, 0.39498392400233096, 0.6193137722862441, 0.43554677939160236]","[0.566141061712337, 0.3732719410342107, 0.59612522243034, 0.824499957090705, 0.10970882454560993]","[0.31272085611082856, 0.38181272839230274, 0.4663709227451859, 0.5490011212421816, 0.10964355904984902]",LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
1,10,10,100,2,Time,0.06548702592472111,Nodes on fire,0.010021311380465914,5.088552951812744,"[0.33728860381222614, 0.6079376689967573, 0.4584775018726368, 0.48560493535237126, 0.39071249554789533]","[0.7074186199160089, 0.9434556616786404, 0.3060494723305368, 0.149458339146614, 0.3773688464719499]","[0.31782674284569856, 0.6185133470154222, 0.708516952131757, 0.9708305443963875, 0.07149804605994348]","[0.8802644963351575, 0.6294795264112493, 0.8087862594598312, 0.43365814831113825, 0.8043811686950916]","[0.3882283124165299, 0.4901782329834986, 0.07204694856383032, 0.08414001023944717, 0.348235624425718]","[0.44681060399624795, 0.4959869343291693, 0.2404434231570003, 0.541540371539843, 0.8041381131955257]","[0.7421312897016032, 0.5693284923980917, 0.8437157571685431, 0.36915368564046414, 0.043524099574187125]","[0.7160641729935338, 0.6419436018307119, 0.6020662201698058, 0.9667280888759281, 0.4109657878376508]","[0.7030056925308218, 0.3746520298682656, 0.9805134494207641, 0.03171275709881172, 0.02370345600300472]","[0.3063149241594124, 0.002529519112752676, 0.3124683918445387, 0.8008610429618419, 0.8921537972940967]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG
2,10,10,100,2,Time,0.4804010268768508,Nodes on fire,0.00019340851649651825,5.088552951812744,"[0.9921480765170984, 0.3194515121028876, 0.5459832935091397, 0.9197840978870808, 0.6546185119742217]","[0.7944909425165586, 0.938850746424518, 0.9960381725251622, 0.01551828227925589, 0.23232019968052864]","[0.24040984030907864, 0.626878657037451, 0.021085127752661248, 0.42900484997249355, 0.9198883950081834]","[0.960639687732052, 0.7768600711207123, 0.5171915198815865, 0.6535138163587497, 0.603879992944983]","[0.137504518955613, 0.04225851949409509, 0.0831858224570865, 0.3787755924392677, 0.7872065564178843]","[0.9635453008614467, 0.042782044837143984, 0.8839237498808631, 0.7288330190400123, 0.8652526581554701]","[0.4329290077588599, 0.7197508663402351, 0.41679541608540915, 0.0056506983712688585, 0.43093128378529877]","[0.34920805962081913, 0.4233354231911052, 0.2150007050940037, 0.7332944633163649, 0.04608355757565197]","[0.024588133183884087, 0.24219523106920615, 0.2159629336067338, 0.6105140786053855, 0.278567850834769]","[0.9381880881448231, 0.9117994844350551, 0.9577585226164079, 0.8813897826269493, 0.965256769495102]",LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG
3,10,10,100,2,Time,0.00020866246424722235,Nodes on fire,0.36853162732541345,5.088552951812744,"[0.8512063688919015, 0.9409072357210845, 0.49610771539187337, 0.7030795718516714, 0.898417496964724]","[0.13846446435255666, 0.7046587925410288, 0.06102301944487232, 0.10055824752469045, 0.2799943075214484]","[0.06642307578415674, 0.5612576182867011, 0.9737334109356367, 0.3919585006360846, 0.24424478993113086]","[0.7342905254118239, 0.9239386587575416, 0.6919407121146751, 0.04161872804590827, 0.5606948077393661]","[0.24435285461485368, 0.7543105023605114, 0.731950658739692, 0.9623197731655976, 0.3421017820530614]","[0.26754028945793085, 0.3520084343932459, 0.705507485236162, 0.6283373078083906, 0.07056673839533734]","[0.9909160774475345, 0.1155754325572782, 0.33969936052770855, 0.37206851254591744, 0.4391900144353774]","[0.38133314251256356, 0.5934122986338638, 0.18889695820221075, 0.6045074596832711, 0.5872003566374581]","[0.6701911297822336, 0.959503960463835, 0.4336617546707904, 0.4190302942333115, 0.6892535879566082]","[0.12280849212071965, 0.3618729736881111, 0.4215527385438661, 0.0697042239887602, 0.985228744214307]",LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG
4,10,10,100,2,Time,0.32313001659302143,Nodes on fire,0.0027108086624934025,5.088552951812744,"[0.7166295163591551, 0.5723549965923569, 0.8457494624017025, 0.8238664818775885, 0.8454493473224047]","[0.08830508089331168, 0.3780693433938985, 0.6233202502882114, 0.6700733004131999, 0.6294329657030998]","[0.5830910628354603, 0.26597944299859766, 0.3500054108117914, 0.41603261654038204, 0.5750259959173615]","[0.16954803756050663, 0.9395328166286337, 0.4867338289619987, 0.9966243637579634, 0.016216385990722948]","[0.7923718979303106, 0.5009731427688322, 0.09042575160473865, 0.1233749717125594, 0.45939216707346986]","[0.5114817679992494, 0.5169745240065522, 0.982550510484498, 0.04619843509813637, 0.8033751370373668]","[0.27286912554481213, 0.7101665821917886, 0.005441165669716308, 0.0693432934085193, 0.7610100129303025]","[0.6805224616370533, 0.3385981501634463, 0.199084271923052, 0.14668723633003022, 0.6549826761882216]","[0.7893499386639362, 0.4514150873514907, 0.47133226153714214, 0.4237860241117044, 0.8521697065052378]","[0.45378552662408944, 0.3942724393781918, 0.3097389978181275, 0.5812799637331056, 0.5309355993128265]",LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG
5,10,10,100,2,Time,0.35448088904381103,Nodes on fire,0.0022108143423980042,5.088552951812744,"[0.3682861535737988, 0.8313867255393067, 0.36337749427111465, 0.009550664426992372, 0.14960982226597352]","[0.08764022223514156, 0.49847050561976713, 0.22049947739657383, 0.28969748899899295, 0.32536167830326623]","[0.2737117739297452, 0.7489722108715999, 0.8023236627058103, 0.24240699517028108, 0.046111226552384754]","[0.8558603986021195, 0.5849433204979229, 0.483911971856254, 0.5918607505580273, 0.37921354733149826]","[0.2550804028315323, 0.8264110439192085, 0.5853520942245842, 0.6411878015721372, 0.6729983566750751]","[0.4874354888626061, 0.30589203469671733, 0.03417837946331781, 0.873335276284986, 0.8209205761309394]","[0.6136807964775203, 0.17916837488888226, 0.3700933896965203, 0.1280023029263272, 0.22744239042905623]","[0.23599765106908588, 0.5596124069412536, 0.23412200993108612, 0.28802008454276173, 0.20137375568719307]","[0.9355938483517702, 0.16835627310238654, 0.9009220130198408, 0.3027761194646129, 0.5917770184157832]","[0.6112056169734373, 0.7112110436750622, 0.41443356904889106, 0.5811280169732895, 0.9760743165526211]",LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG
6,10,10,100,2,Time,0.001104001012815936,Nodes on fire,0.012176755250315807,5.088552951812744,"[0.6664218881484112, 0.9125192778035758, 0.14009603583096242, 0.5334404844602307, 0.3710056742001481]","[0.40620436663992354, 0.4327437217248753, 0.6895034383975555, 0.45244199158346377, 0.10904266933283546]","[0.8644567015375364, 0.44881214876453535, 0.6959505146863391, 0.7412467317898991, 0.22679864769817615]","[0.3953538319159655, 0.7848971054443198, 0.9467091084483821, 0.8931804373926175, 0.7995950507416371]","[0.4131610489642047, 0.9428613740842103, 0.7641485693023271, 0.054245778884192686, 0.6919245278030489]","[0.5197175213779797, 0.20841705001922728, 0.45201480224782953, 0.3379657689367829, 0.3010517128992761]","[0.7481871145794938, 0.5884097181016067, 0.3789027413463364, 0.7956974465361244, 0.7582718698569145]","[0.33288039595003494, 0.8579188944420247, 0.4272617351279666, 0.4869153806244767, 0.785598183268984]","[0.3543389244380125, 0.7773591313904654, 0.8809500757620657, 0.18751723591992764, 0.8170111294376439]","[0.9463115598270335, 0.8897352964064681, 0.27313859958332853, 0.09734002689820564, 0.4420315815443173]",LDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG
