,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.0003132237467947663,Nodes on fire,0.5840658914673574,4.694025039672852,"[0.6842645468462644, 0.23852289795410608, 0.14829772451663426, 0.8585823568630699, 0.2839151417807376]","[0.7549607192720823, 0.6003858679502108, 0.5024354489441624, 0.03373039394251931, 0.854202151529033]","[0.7809640494377327, 0.575258682291819, 0.4570191250159755, 0.33529301216146756, 0.5699091795292942]","[0.45071443524886856, 0.5162141656675266, 0.04433073794749132, 0.14956779657021435, 0.7785221490948587]","[0.6823067395585969, 0.7673189555359006, 0.7801701853065274, 0.3765146337532348, 0.7668746535069578]","[0.03377551915636645, 0.0808191010370568, 0.7462987651315643, 0.6906683196737469, 0.3971937953496546]","[0.2165651215593023, 0.3669880943380104, 0.7962099045291032, 0.7348478983297533, 0.5562380697209804]","[0.7865671532977976, 0.5511578965304061, 0.05806142163003947, 0.2253432129660652, 0.7868258426405558]","[0.5006122449546028, 0.8800837073664121, 0.4385316419668833, 0.9815461194343827, 0.9959307171378654]","[0.211324678812301, 0.2297052326883413, 0.5007740175928473, 0.11707884265655855, 0.6219675410686336]",GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
1,10,10,100,2,Time,0.0007960094831315212,Nodes on fire,0.2695207480650569,4.694025039672852,"[0.49045506511070525, 0.973758258817443, 0.9416357041568544, 0.5275666939201415, 0.3259126309113227]","[0.5521154101260655, 0.1788141544329136, 0.6244627913246643, 0.6871888934821875, 0.5264369722329952]","[0.9659386701975325, 0.542253402210806, 0.1833692383505372, 0.8929053742480006, 0.4462036260864334]","[0.26752130337348445, 0.4191425819943103, 0.9854954088763305, 0.12306692936651542, 0.1729734270523593]","[0.8913046020382995, 0.46685684773904845, 0.011320781858891515, 0.8538112954582665, 0.46504223736940065]","[0.7329548560559448, 0.8517315129027677, 0.9424924541435271, 0.2144011621823999, 0.6723297647516965]","[0.7105552362469454, 0.35005753819329477, 0.4238224279338547, 0.7217167808749323, 0.578176451116282]","[0.8424076911440517, 0.8331595163739444, 0.6421533913392105, 0.7645718576676839, 0.7317771717897071]","[0.30493463023738265, 0.06433590860043181, 0.42772216856604095, 0.7875662259337978, 0.2922074826055343]","[0.401373844525154, 0.5994465329276899, 0.3534620076289262, 0.5204355276250818, 0.8579888036215718]",GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG
2,10,10,100,2,Time,0.007389273972085442,Nodes on fire,0.024107742897716222,4.694025039672852,"[0.3259132297569468, 0.31373354619268656, 0.2162056163163507, 0.6881009913536071, 0.7166463470752382]","[0.0673593069354046, 0.0047695440492202534, 0.3153457247589472, 0.20626077005628507, 0.41495284115106323]","[0.5060798861950885, 0.5887427224758013, 0.7602746131197774, 0.9029469972039076, 0.5915087603360342]","[0.23536910733162208, 0.15368067490666282, 0.3571947224891734, 0.19039055666584648, 0.5085577853513269]","[0.2210381139682852, 0.5089294486401842, 0.5709392845164787, 0.8357800582491413, 0.9624033443768769]","[0.9563713522689825, 0.8865569381516051, 0.2334930092816505, 0.25316935420306197, 0.10298165009944749]","[0.9602728516402379, 0.11883156284128493, 0.013710139479685468, 0.7275714929267825, 0.7833842368514076]","[0.5108929104950891, 0.2328208504480016, 0.8256949067618298, 0.7900199724934048, 0.0017606420380406052]","[0.1200782051597108, 0.619163308477361, 0.096948837737725, 0.348242819838691, 0.4880075850923258]","[0.8113280611266732, 0.8714056951350883, 0.1475896376171476, 0.5502229095854007, 0.29153189110349087]",LDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG
3,10,10,100,2,Time,0.06540517186286354,Nodes on fire,0.010538202557645926,4.694025039672852,"[0.43483714762085424, 0.8089307447139648, 0.7486386412844435, 0.7483105474042203, 0.5131979194809426]","[0.3073618780599685, 0.9343010043751537, 0.08766394079500028, 0.5926518793825731, 0.48817644029547924]","[0.37637258552943453, 0.9461806961720661, 0.5411257766969375, 0.14938351031702124, 0.35809659544797234]","[0.7401035879756757, 0.5284093498262549, 0.44958486854891944, 0.21970623828862246, 0.7192204670245309]","[0.06490603239927761, 0.024131438790679027, 0.1682498876428703, 0.21959229824040472, 0.9924391794342806]","[0.4725812168254522, 0.683212666576082, 0.8425830136328869, 0.5501151944973154, 0.7667233952149985]","[0.5596546889356987, 0.2412822862088595, 0.8330414364931931, 0.43630122606294586, 0.3027229882647241]","[0.7761072329371783, 0.3563855678250344, 0.197394594418692, 0.7933264764185632, 0.6622223807594629]","[0.32176301175905764, 0.12322797240565697, 0.7019629546726327, 0.004014518308579462, 0.2694701752159884]","[0.40333524894418504, 0.23372340348040166, 0.10972116289031286, 0.3635309478798826, 0.5015677506974338]",LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
4,10,10,100,2,Time,0.0026706837736547584,Nodes on fire,0.18536975647805476,4.694025039672852,"[0.1539025048959466, 0.7565599436283802, 0.6268145356543147, 0.013185716076314469, 0.8704614239431083]","[0.4204212145027544, 0.9463843751075574, 0.8498609259759581, 0.27320232649338116, 0.17206612961670475]","[0.26999644282985424, 0.7150450876044833, 0.8959954451099732, 0.5220228648582027, 0.9370782527677892]","[0.22286216363877942, 0.07638077630969031, 0.30465662830588425, 0.5536028522121712, 0.5908387275777066]","[0.8985504109794855, 0.47480762137223764, 0.9584196710745028, 0.9956945104061937, 0.9736838041195572]","[0.8163018298718281, 0.12796444730283707, 0.9408502993744063, 0.3258333079530824, 0.8138678774777179]","[0.8574120287135276, 0.9255066380461333, 0.48833947182473847, 0.1694883918918415, 0.1294369173325347]","[0.7023248496642388, 0.8594319340519713, 0.04148629736921805, 0.5051168866587443, 0.31796898641196225]","[0.24305698007435161, 0.3980006483578439, 0.8041554344328206, 0.08517623706764199, 0.7432585641211197]","[0.08119807493105335, 0.9762989930347226, 0.5619949764144405, 0.8753175006503953, 0.8002684498941215]",LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG
5,10,10,100,2,Time,0.6494765052394098,Nodes on fire,0.0030727694405469075,4.694025039672852,"[0.8539686889185569, 0.12599857050784669, 0.9879109120079003, 0.1626699235820115, 0.25650623370191417]","[0.24027761333475017, 0.2695573388035608, 0.2349580102926332, 0.6999916862062954, 0.05691084697976301]","[0.06904140451963725, 0.5683854367487068, 0.5058519974229422, 0.37372143937667757, 0.9689591199248266]","[0.38282388458688776, 0.18802093385228524, 0.21833079474192474, 0.7879975925403372, 0.45428281634716816]","[0.11148815394491751, 0.7137444838042268, 0.6266801037166357, 0.38236747124521364, 0.6452948520308739]","[0.7512705080490395, 0.9820983181394456, 0.6606404929830373, 0.28183469038509, 0.9930441818371145]","[0.7511370706415541, 0.06878912770439849, 0.9910241076015817, 0.733491631057108, 0.8646951360472039]","[0.08995600560626127, 0.19789043664550388, 0.5068413002192376, 0.8012894131424884, 0.958450072080046]","[0.7785203366273711, 0.4572595884561036, 0.7491848931677783, 0.924542720488986, 0.43903955307232645]","[0.29677932767947857, 0.6189244429820804, 0.5714793706501886, 0.9510270943784728, 0.0004902012676333278]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG
6,10,10,100,2,Time,0.07061149576503689,Nodes on fire,0.006067775404827946,4.694025039672852,"[0.8270086456847293, 0.06409506705933865, 0.42385617914760265, 0.45100432135394086, 0.9352380768213775]","[0.2572939691205831, 0.7550608616593139, 0.5026245097376574, 0.9572692959174184, 0.4031083341680439]","[0.7868740007257723, 0.8416694149827385, 0.981849063775489, 0.2279149769869302, 0.535478877807318]","[0.8167900940083506, 0.8298823086613936, 0.5286599450141294, 0.41714155184565127, 0.08737016729944747]","[0.29155674720403757, 0.6407591990016698, 0.30466063311983316, 0.5593956535035961, 0.8667209650568191]","[0.46096178659624387, 0.12523868516779002, 0.2290318624269273, 0.747941873702004, 0.3165725295215873]","[0.48069065993153826, 0.9720990760598335, 0.819599958152969, 0.02879729539085163, 0.6439681352993339]","[0.997731765548504, 0.21058067853947415, 0.37501031483526737, 0.6717911473842778, 0.764736568594163]","[0.5706413434503237, 0.5263249969501667, 0.016701029549915147, 0.6164336466516583, 0.04686595949717487]","[0.8902250864443823, 0.174081838454188, 0.6619532057904927, 0.2817562467729273, 0.13310352336002385]",GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
7,10,10,100,2,Time,0.18048218119535464,Nodes on fire,0.003388859825628643,4.694025039672852,"[0.5346074977378052, 0.839601535852977, 0.08361078793557641, 0.6148676214321539, 0.48774548928750905]","[0.33274610317638065, 0.8713003036051437, 0.8649631559691026, 0.2965195792379314, 0.47074235781733276]","[0.36996843549545844, 0.8798913037844565, 0.10671534293419327, 0.22484523976868676, 0.7488334830328587]","[0.2117851871041505, 0.9128759521811805, 0.8551776889605026, 0.8937492951712355, 0.9182401202299713]","[0.8565721796327929, 0.25359998009340334, 0.71797593452704, 0.12240766911211398, 0.9137411858812295]","[0.09530181877543376, 0.49711379387215393, 0.21606972625361476, 0.5270708611647936, 0.7951807797880506]","[0.9060686985682975, 0.2586506949507723, 0.46942300439133855, 0.5766377206656886, 0.5513390456310969]","[0.4486406958246395, 0.23076536215027788, 0.32222518326313154, 0.10282484086469557, 0.9069159057948084]","[0.31762804868740147, 0.12765809503219194, 0.2264070221244071, 0.48464894539858694, 0.912796741145588]","[0.5024781266571305, 0.19468881933346416, 0.9912083413022078, 0.015560745838969159, 0.4454095893485319]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
