,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.00801487996666339,Nodes on fire,0.0346999378780557,4.511734962463379,"[0.5534866502488235, 0.14513544056965877, 0.6941656461842876, 0.4487639632938686, 0.6470673897480934]","[0.2177862330445961, 0.1399968724593671, 0.15486578140414242, 0.26860162673404564, 0.7193078166815957]","[0.936016444249084, 0.8605504975472531, 0.8118519261018697, 0.8184267994487002, 0.15971128468710571]","[0.2927736663161218, 0.1333762235989454, 0.507171887126856, 0.9703507613450008, 0.22827569165294193]","[0.6692356680337967, 0.7921859903731884, 0.3099973742073878, 0.324774723453371, 0.7905166570280732]","[0.30657111778168833, 0.33894806974132674, 0.6364289463209677, 0.17826993056188412, 0.056529182220198315]","[0.6169853422801814, 0.9333365945867782, 0.5910229789090516, 0.8166298122527954, 0.41387997536915744]","[0.04784268120884039, 0.1668190604837737, 0.21576147372688226, 0.13021032108427877, 0.3657769221499637]","[0.8627348610637766, 0.9637000420620286, 0.28181234898394136, 0.37449569763481994, 0.5611004559738229]","[0.08910571924087085, 0.7999628329994423, 0.2454300120231946, 0.432761309288783, 0.8168001903739228]",LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG
1,10,10,100,2,Time,0.5627191042513554,Nodes on fire,0.001119358686159977,4.511734962463379,"[0.4806780803126567, 0.6520917447839272, 0.5906565590768804, 0.8676481547447705, 0.4867452017455811]","[0.8188755544316769, 0.9074559923978146, 0.5637784809174359, 0.13037462672461864, 0.19886618804446]","[0.3223308180723671, 0.8158744442575078, 0.0275524872886318, 0.5540891414957935, 0.10987211211421888]","[0.10721409922450842, 0.493795032283472, 0.8572641836931005, 0.9291956531691016, 0.0361211251258875]","[0.8233548912821582, 0.5633755076028949, 0.3475355783155144, 0.0670492058789598, 0.20176367226235858]","[0.6054533989591759, 0.03396832892493551, 0.8116417227984487, 0.8514715505057032, 0.4575759520088478]","[0.8369073110961869, 0.19447442258954406, 0.9556379385933963, 0.6548527319271642, 0.2852249294633108]","[0.17789523872587065, 0.7235041254586078, 0.9846515548453849, 0.8230089971899875, 0.6294852054003228]","[0.2904465507761289, 0.5031335145079174, 0.8836796326195872, 0.8135809127909727, 0.6919023607345927]","[0.09136037595161284, 0.100818835030406, 0.8009970504301276, 0.6658580241205042, 0.09048520046573705]",GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG
2,10,10,100,2,Time,0.001083987737363068,Nodes on fire,0.8379217465109619,4.511734962463379,"[0.08373132654362803, 0.963087302787887, 0.09840809869201139, 0.1814881728986084, 0.7184973841257308]","[0.37797781105949746, 0.8678250059298988, 0.39839330231930703, 0.49915839691951946, 0.5806809602920171]","[0.2830071316351358, 0.5150441558289416, 0.49216412141221344, 0.5835814102272893, 0.9333254430078682]","[0.19660726796853478, 0.5282680718036019, 0.1762262654307376, 0.4977969460214612, 0.8696998940419123]","[0.060442077742937306, 0.11081449839650237, 0.0350375834494252, 0.04644497113278634, 0.49104102992718734]","[0.1690874894371771, 0.5168466915411691, 0.6590736545472912, 0.8719696827654457, 0.31857059225564566]","[0.4409358723998822, 0.8468917709306302, 0.3915752074359222, 0.7609764388547605, 0.3657784520775257]","[0.01039557336602348, 0.6298201808670185, 0.2945530733036349, 0.4452432985239906, 0.7780650088742443]","[0.5471252274909052, 0.6740351437586576, 0.590295498522407, 0.73548016681282, 0.732108582874392]","[0.21892076111226155, 0.19530006048604542, 0.247193860429187, 0.6669948435253262, 0.38796404587978195]",LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
3,10,10,100,2,Time,0.7593511967398674,Nodes on fire,0.0004993050359861639,4.511734962463379,"[0.48898082718284797, 0.30389008387606575, 0.9572602542304192, 0.578760035564219, 0.19043555439347293]","[0.2479767211855628, 0.21907775530849594, 0.6013877338267629, 0.9572188381001807, 0.1539346489294432]","[0.9119451166479152, 0.7839634001889292, 0.5381640453270436, 0.5376556807228151, 0.8232631008417732]","[0.5381953538675978, 0.9662144991092909, 0.7655382117750558, 0.26664454413557837, 0.6321452208572639]","[0.9002564201648294, 0.38965499885112964, 0.4546584571995882, 0.5521297084857523, 0.764745339421572]","[0.19047538519637386, 0.0005500090627317267, 0.6403940891413803, 0.9104262862964442, 0.40768235101158745]","[0.07630421193211989, 0.8192815163607498, 0.5048173149271211, 0.8657720193603163, 0.8733147524406053]","[0.5458304425510643, 0.9984948520382132, 0.8753973931552652, 0.9963274464865735, 0.9355933427017888]","[0.9091583529482048, 0.2868076553163955, 0.11043947454414516, 0.8872815068269734, 0.7360550627865754]","[0.05001188107384558, 0.28917252639254853, 0.5661030954769676, 0.8308486781178771, 0.781178913232998]",LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG
4,10,10,100,2,Time,0.14885720344127906,Nodes on fire,0.006911162093125811,4.511734962463379,"[0.8587058924472093, 0.28508487819662776, 0.3972172069135361, 0.49850120137905174, 0.7982004967747036]","[0.1911668006833016, 0.021338138852775135, 0.6913481461380402, 0.8178808622211052, 0.5344898186368001]","[0.8254618766396452, 0.7306711273351477, 0.3475818130603676, 0.4162799006566499, 0.3447669957219357]","[0.9090453662632434, 0.6497367431044005, 0.1636094617261733, 0.40830311446093015, 0.15183044541046786]","[0.01902921589359452, 0.9818096264255721, 0.2104674501461402, 0.0307731217110655, 0.1622236396542126]","[0.21836716844880755, 0.9548660252387323, 0.6582460090117335, 0.9332675423719445, 0.5828284956561123]","[0.5145484922140902, 0.8269608977652463, 0.596989795263482, 0.4462068462795151, 0.6145301275637279]","[0.7721437542443462, 0.28690791043649055, 0.5228365867879593, 0.7601098627139464, 0.032808957456893606]","[0.23446070988745837, 0.6191164320262322, 0.054456295038402325, 0.6607928035556816, 0.8608277826111811]","[0.5861507654932799, 0.8527718867327179, 0.8605262660644132, 0.44018801460531876, 0.7568322780814991]",GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
5,10,10,100,2,Time,0.002148539186478282,Nodes on fire,0.6196554541003289,4.511734962463379,"[0.23159489134052447, 0.7488442164697541, 0.28678486201104414, 0.8720425761862064, 0.31631975067010465]","[0.39375549764474904, 0.7702000582618973, 0.09352330317811919, 0.7869620537483658, 0.00505212908730901]","[0.13694152242101176, 0.6859085969559384, 0.1640413981300518, 0.6912712197474578, 0.2882025341585849]","[0.9988708339383762, 0.37457887277873014, 0.3686738137634564, 0.8364322656308535, 0.23949857799813112]","[0.6498616395227926, 0.6364768229800642, 0.11689468231882705, 0.3373315847829621, 0.643526495190649]","[0.37235271442344875, 0.799613061506032, 0.5354748132252098, 0.0539030824107376, 0.21919758586611482]","[0.8888842480159204, 0.9235875334148079, 0.9640798040604139, 0.8959144101757279, 0.07063838509176323]","[0.6112678292821944, 0.4847384800674488, 0.969572911148087, 0.309384323862377, 0.024675347488842814]","[0.03131931859002779, 0.22952016039599699, 0.259512773780848, 0.22932987047762632, 0.6861307251970497]","[0.3956609662301622, 0.27257591548985893, 0.3021092752023271, 0.08284579014516014, 0.17756944020566956]",GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG
6,10,10,100,2,Time,0.023926589900943984,Nodes on fire,0.007289610318326201,4.511734962463379,"[0.36743729783476986, 0.1510005132401927, 0.3712231760763596, 0.3041845936715666, 0.4582513183171618]","[0.5644295264815192, 0.7201555899547047, 0.33711853344745435, 0.8429725938081886, 0.7863512712639397]","[0.980994376868231, 0.19624902812940315, 0.7833645958391284, 0.335101800261974, 0.12014532004529477]","[0.1587713465363495, 0.8645666093629426, 0.3416411092275963, 0.6238120223173705, 0.7875621804450779]","[0.23162398709283671, 0.07163689920203231, 0.023474546727606738, 0.3936949811382351, 0.844119155562893]","[0.9441097659403475, 0.9928000861791199, 0.2618297325333665, 0.7000659572075326, 0.7209519379455354]","[0.11260661278492956, 0.8958178121250969, 0.8650639516939429, 0.07140089314865428, 0.9586240757341749]","[0.9770490613989804, 0.8892715383961944, 0.5843048439263905, 0.3120503584821219, 0.08055149489993307]","[0.4702563624602303, 0.5555079959021868, 0.5778841221158898, 0.4436584815666055, 0.5136140183108343]","[0.6817996938209716, 0.9679698942392951, 0.915537782130431, 0.8787395730819011, 0.4071157057985946]",LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG
7,10,10,100,2,Time,0.4065410226917935,Nodes on fire,0.0015867685386177222,4.511734962463379,"[0.9396043918985226, 0.3131092599010056, 0.6520895978475432, 0.21157531198078317, 0.05318308762949231]","[0.4238376217827524, 0.9669679575866493, 0.9307403943174244, 0.6447330509907415, 0.9687402417676079]","[0.5363356627010791, 0.6844113838910876, 0.19528841782676498, 0.579260342749078, 0.25828581262280226]","[0.16918917832142844, 0.3450159642701359, 0.3355931724760879, 0.28342902713163687, 0.8507137828635594]","[0.8199210245095382, 0.7304942179309569, 0.4258940661476349, 0.04470593690939839, 0.32016699121185843]","[0.27083882187230635, 0.5724507381137077, 0.5156173964405548, 0.11799058960314712, 0.9031025340981335]","[0.26336708235948847, 0.4256091244405765, 0.4809596621434523, 0.8863626015751188, 0.050959283102551045]","[0.9070611421611878, 0.1582889372292755, 0.4398830833234181, 0.08059758329054789, 0.7404050116364523]","[0.16168277814434262, 0.4733325474693688, 0.4496565727054046, 0.6283015915109497, 0.4073781638624401]","[0.9427272425376556, 0.03850522671138523, 0.7026167185744152, 0.5175227206259337, 0.7076239478157226]",LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
8,10,10,100,2,Time,0.00115115659945908,Nodes on fire,0.6587367362907177,4.511734962463379,"[0.016792302339558196, 0.8213158064891832, 0.9445769800856517, 0.055595261960325826, 0.49140616210559473]","[0.4189457212903662, 0.6062639340525425, 0.3933382069873569, 0.11711478393418362, 0.06452012873078361]","[0.5313723754657849, 0.5718068515509159, 0.2211588296913939, 0.4801501221949269, 0.7310407205485315]","[0.7394610450371506, 0.5401053848767247, 0.5384558994945432, 0.291687258407924, 0.8809800594461314]","[0.5650451899873008, 0.2870306578374209, 0.4295004144489414, 0.13942505351522305, 0.42261135785796156]","[0.4290611717551186, 0.8720568872459056, 0.3892361879799894, 0.528026596293457, 0.8529983532629413]","[0.9939526838317421, 0.5007716419925743, 0.5724564422551599, 0.5924067965593101, 0.4911534337966593]","[0.7668947306638282, 0.8020196197435701, 0.2459923701414537, 0.8814485660841345, 0.5862876446100256]","[0.7846483778526591, 0.29488779252468766, 0.035585975097528366, 0.7391387776191995, 0.41224228521930006]","[0.8447943172359771, 0.6706660738729457, 0.6590567273529083, 0.376747329054657, 0.25180945466058136]",LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG
