,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.00034538667575678694,Nodes on fire,0.7650355815481071,5.170459985733032,"[0.2690481665222838, 0.5709478156041639, 0.7267593824931908, 0.2771611442600511, 0.4087860550772734]","[0.9691028976153135, 0.5845571516183984, 0.5779381245937971, 0.7249393489695262, 0.4525196575109227]","[0.12571228289156, 0.3028204812384526, 0.19132447304442646, 0.08258138685219052, 0.16219220401759749]","[0.6262654140786019, 0.19110425095620254, 0.7716637105814019, 0.9178603351072345, 0.7221246182836966]","[0.08160318609283812, 0.8900900673546545, 0.5888066846251738, 0.5165772277754894, 0.9331307286375341]","[0.8805537426872663, 0.21712890237745397, 0.7982514815578095, 0.7782523550093683, 0.6837772067326467]","[0.23844568423816204, 0.5365215463642822, 0.28273820152880647, 0.6488723728367546, 0.5721161802053496]","[0.4356614166555445, 0.8633494137423903, 0.25293160367856227, 0.6589171283515033, 0.016712755499165843]","[0.6060430362056266, 0.7832268562599073, 0.7236815438637769, 0.9191312922167498, 0.07726226540507886]","[0.46104161293696655, 0.8695559111347373, 0.8143505774109988, 0.4363107073271484, 0.6352508292430832]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
1,10,10,100,2,Time,0.0688473940462373,Nodes on fire,0.0118473410437544,5.170459985733032,"[0.8773233149174784, 0.7934313072005067, 0.8163937147443804, 0.3657376190296733, 0.6755796029835514]","[0.8542124219164062, 0.1419138752227106, 0.12349332865496476, 0.6624812563096635, 0.9094119512843327]","[0.4029606216803615, 0.6386363357646153, 0.09831788393049667, 0.6200365185819042, 0.6705510377867614]","[0.8221679505956799, 0.24013431819041398, 0.9679532549670321, 0.6770646776773237, 0.9625979836164528]","[0.4009701714926456, 0.9232276193500933, 0.3420504816415033, 0.540977515395183, 0.010635482595395707]","[0.3879737661145488, 0.037828036722581504, 0.36120363752160156, 0.19661627564026884, 0.5262324066789601]","[0.8922433710120156, 0.7978699745980888, 0.6359793019958051, 0.7865957340958866, 0.30219037717772257]","[0.9285871832960577, 0.1852086744197846, 0.7275644846329737, 0.8668068314389644, 0.9853528858849152]","[0.44428466376154774, 0.23127066677657504, 0.20125545389898003, 0.057406226724969533, 0.9111517204548242]","[0.8111114451709626, 0.3158437432476673, 0.9237137534961308, 0.10161763944094804, 0.5240338189347311]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG
2,10,10,100,2,Time,0.010001263379986636,Nodes on fire,0.09161709634973858,5.170459985733032,"[0.9025482210858969, 0.8185110177969589, 0.6680246843011023, 0.4368245962976569, 0.042861135567133335]","[0.6026455496061629, 0.5738459473260955, 0.01330865335003062, 0.21486684636349962, 0.6428930907788246]","[0.7558588855954335, 0.2443087512591975, 0.09168068584731681, 0.7657577792732978, 0.4088076085865022]","[0.2606304509681955, 0.15635566057255557, 0.5882002540667242, 0.9603822809658562, 0.9588668652498763]","[0.9429068591415215, 0.16978294420620155, 0.098812694011433, 0.2989052491477565, 0.40283863180721613]","[0.0969785987377545, 0.7593569857214243, 0.2780353136366527, 0.5883911667656405, 0.40104735132076663]","[0.08526986050939434, 0.479594006664428, 0.45480810738147415, 0.023424698458394233, 0.45887439895955817]","[0.9523501659717709, 0.27001642695915506, 0.38707199401651204, 0.6961208870724556, 0.18809912844499177]","[0.4522535057043221, 0.25073944401936754, 0.5276271304111744, 0.39203245347210647, 0.3359669288409133]","[0.55337904188335, 0.614273782771548, 0.8896933859966655, 0.46932966280220656, 0.8017860472838768]",GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG
3,10,10,100,2,Time,0.21744280087018053,Nodes on fire,0.000634088597691651,5.170459985733032,"[0.6342144842955393, 0.7577018377849665, 0.43523189901054427, 0.913957702453469, 0.1334170078041611]","[0.648802489335688, 0.2840205938704101, 0.27568179909559964, 0.8549038411064261, 0.3427483298235888]","[0.8547321304203344, 0.9826899544439306, 0.039168998786694664, 0.8711419819793145, 0.3697254092917531]","[0.8280267342467612, 0.6843456134361104, 0.3870443802616086, 0.25697612309617923, 0.4992183432811561]","[0.9787915695184962, 0.22457822014506723, 0.004338872628981805, 0.32967140721265786, 0.24923344509618717]","[0.5465467294949444, 0.012394470256545276, 0.18353064442449374, 0.5043231633047365, 0.6531371105047679]","[0.30990074685407965, 0.9822189972005332, 0.1640181770983712, 0.32768482312859737, 0.6776214752157796]","[0.7886791022181399, 0.12629314150835147, 0.6233356463906435, 0.27776507785741833, 0.2924447312907371]","[0.11576104138645205, 0.28730667996651094, 0.8703456536977169, 0.10209410050158596, 0.21538044485636298]","[0.18478570065369537, 0.8887912703701172, 0.2537849916596381, 0.03745407687963276, 0.6290933075005465]",GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG
4,10,10,100,2,Time,0.0013997037470693252,Nodes on fire,0.17539101758260645,5.170459985733032,"[0.45176052875594375, 0.9705796982036343, 0.120286736463318, 0.094900778258461, 0.7162961552797382]","[0.9268211014351357, 0.1187135326796882, 0.11669509130407052, 0.6346072748620388, 0.9693642913135748]","[0.492727034805729, 0.6074876486510566, 0.017216444322199043, 0.17102908859647925, 0.17092322988413233]","[0.4443040724536409, 0.23295210925446663, 0.5797223344654306, 0.6977751941049383, 0.24383071705838977]","[0.33953919217307715, 0.4410514193225751, 0.40856673066614435, 0.49526450861015836, 0.6777409332255776]","[0.455043080155924, 0.9010536043886825, 0.9484954001149458, 0.692235542295246, 0.644829795515278]","[0.7879458203680307, 0.2517008296876304, 0.23623135479486834, 0.11682884591553355, 0.880027450641414]","[0.5309797406616739, 0.11955056652140317, 0.28880109678546584, 0.4535045565051884, 0.37305463750879264]","[0.716699196209932, 0.3544289648188891, 0.09233617092705149, 0.48584323733335966, 0.5766860187319327]","[0.8693551053208391, 0.7419503588935532, 0.4545746081142613, 0.08016975520383152, 0.2400907941961724]",GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG
5,10,10,100,2,Time,0.0340512520302525,Nodes on fire,0.014044575848326968,5.170459985733032,"[0.773726749922765, 0.009679614065546294, 0.6891791008362248, 0.5839390679357493, 0.9058122229190614]","[0.8821517493204455, 0.9373169673031602, 0.8179865949343957, 0.5787050770762657, 0.8345203650360606]","[0.31326234453307555, 0.2332968006294056, 0.8666428703482177, 0.32375232154781786, 0.2734667480866053]","[0.035704961826314, 0.7834154102871115, 0.9533257479046445, 0.8012304038829908, 0.013441364234883069]","[0.03207891902391413, 0.17874041817061403, 0.3197624952085031, 0.5518251717232523, 0.09081914917897838]","[0.2016819487255308, 0.5472492831261304, 0.23777680726417594, 0.6013700843630377, 0.5946263868717173]","[0.768418947274956, 0.5063720517356131, 0.4600888943158634, 0.9968795586971825, 0.7664473651024226]","[0.056124653178672435, 0.942516430613408, 0.3665271155946662, 0.4978563497400823, 0.8411637590693797]","[0.32643961801778654, 0.7186536217932952, 0.15098125187661315, 0.7956134035431074, 0.579438121907103]","[0.7592416697835339, 0.16038240993344233, 0.6571255614612501, 0.3378142325316016, 0.8318873126418388]",LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG
6,10,10,100,2,Time,0.0010391492995005525,Nodes on fire,0.40851650146494145,5.170459985733032,"[0.9911057112116481, 0.5949703983980494, 0.1955681698543339, 0.04201434618399946, 0.4348021898766752]","[0.6437927713315824, 0.34159270567195676, 0.3041868999637256, 0.229903454293665, 0.6684488232909915]","[0.5125840943419439, 0.06709172152918352, 0.9858549039075692, 0.1790748451515045, 0.032340905474302906]","[0.1830273495124196, 0.41530903210407355, 0.3592628198794159, 0.6468117974704675, 0.7485271446431612]","[0.6659028330296075, 0.8200544597068787, 0.6722645028234878, 0.2970723423137178, 0.5549347908729392]","[0.2490281233830478, 0.6820242735204189, 0.5962601514507402, 0.5422535268709283, 0.003236483205959706]","[0.32304387276212876, 0.27303330545398563, 0.9979492410255356, 0.5151826990862568, 0.6062542567542756]","[0.282923117646833, 0.10881816525465415, 0.4866792191901209, 0.6929916680106235, 0.39304911862749214]","[0.5651913678219028, 0.8576984190431731, 0.24592508910608857, 0.4540241061338547, 0.6562120099545855]","[0.3817213400437084, 0.6948733238909478, 0.846407491913352, 0.5132424686833992, 0.5682809489225382]",GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
7,10,10,100,2,Time,0.002789360763246429,Nodes on fire,0.10006938706829271,5.170459985733032,"[0.42919416904776453, 0.7331572939455674, 0.6364513784296877, 0.38062994006165496, 0.9343026956406076]","[0.9594781498903305, 0.2846474821739965, 0.0015669502758246523, 0.1068469236827505, 0.4501832968934907]","[0.1329371163645382, 0.3285649496923537, 0.7725664014215397, 0.08705833971297017, 0.6992047738469004]","[0.2239814431171563, 0.5586927229499555, 0.12236729886971442, 0.44206627325581205, 0.5466771675136235]","[0.22207093288535662, 0.8101980295067113, 0.19507372535507206, 0.8753859767564731, 0.11212022967068003]","[0.7470649358419317, 0.5185726970928631, 0.6122295248198703, 0.6879220642070862, 0.9544368147849824]","[0.08724576315794108, 0.3444824352782401, 0.01647300084788106, 0.12705689998303027, 0.45781321751851467]","[0.6326522670802226, 0.6744940389633995, 0.5241797666407157, 0.9135797783277171, 0.42527851367664293]","[0.5126911590421727, 0.9174444427065868, 0.1570554046034256, 0.25658558900912476, 0.871020840224471]","[0.6307788215676449, 0.5244297690264415, 0.48487147061104363, 0.044500434551965395, 0.9349320381293993]",GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG
8,10,10,100,2,Time,0.18992652320508552,Nodes on fire,0.007901211830292687,5.170459985733032,"[0.7313161846539226, 0.6534677446660427, 0.8034233482648047, 0.3900468297971479, 0.00566088937540532]","[0.23789391396576653, 0.6750556176136914, 0.48675133428296224, 0.6781476487819409, 0.19569248635161418]","[0.7462771531138183, 0.9929953864906583, 0.06484370599140421, 0.9261485438440809, 0.13047137498069106]","[0.4651066972567808, 0.16042185339950787, 0.6687184189142504, 0.9061209857609784, 0.929197560214152]","[0.19176380720372754, 0.11111950325517173, 0.4537181092028454, 0.051870899147561156, 0.6745282801884885]","[0.49632619706866454, 0.055763935455880764, 0.8898352333425817, 0.09820755352060329, 0.5865316243362265]","[0.8029097036093201, 0.08772058933606164, 0.07769953256849438, 0.9414078629637669, 0.4434746014900708]","[0.47303883831413596, 0.15203309287627065, 0.474285424756695, 0.7409984808710433, 0.312400445481271]","[0.33311652676362935, 0.3038136372501984, 0.2534098149184202, 0.11666480327566253, 0.6063878583169856]","[0.7568748656656922, 0.28833000174873513, 0.3736792193089912, 0.5752814981453251, 0.3423180815012604]",LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG
9,10,10,100,2,Time,0.07412001619779252,Nodes on fire,0.010224707889232021,5.170459985733032,"[0.18593121178251726, 0.2760325181123864, 0.5042315330525621, 0.26669608265386324, 0.5726653041437978]","[0.6437085607666079, 0.2611039688365321, 0.37345566747600356, 0.8568790738198842, 0.9658283557720848]","[0.4442016271197874, 0.5737035723083433, 0.5490535229133566, 0.43079924206317466, 0.4001024713674951]","[0.841098380156901, 0.1888389668914039, 0.37509658843296245, 0.8863330415324403, 0.9050485763444868]","[0.9420849609994398, 0.7933901923565512, 0.05902117508395255, 0.07180825898075327, 0.07122225458053044]","[0.7927088060587593, 0.8653654767045305, 0.8797137307552853, 0.27550872657109715, 0.1330628079125663]","[0.6363658106256749, 0.8839667339864671, 0.9401431386452002, 0.968932049761364, 0.46719895877418405]","[0.9519926532254527, 0.5639415452438841, 0.47823857964511907, 0.98931178726065, 0.28193650381414304]","[0.032367626472530664, 0.15208780209329054, 0.7281090674430597, 0.3933917894127341, 0.7842526844150344]","[0.05183957071946743, 0.23799699986436496, 0.03225495547056678, 0.36597921848178283, 0.5055739785974914]",GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG
