,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,100,2,Time,0.8238812303281632,Nodes on fire,5.477387863750405e-05,4.528846979141235,"[0.20660387840055505, 0.0212529554391232, 0.21157683987480225, 0.8166120231741305, 0.0005714271363730372]","[0.7218935789652511, 0.41950305786520115, 0.935481179508982, 0.6801711752805141, 0.6186065236778887]","[0.015232235421040352, 0.2667217012887739, 0.8019938618010353, 0.7694244232548382, 0.8457608058283695]","[0.7621324876222411, 0.050544234061206894, 0.18978711998049913, 0.9044080247278675, 0.5398313260123889]","[0.9447448379006712, 0.8833371298779347, 0.8622171561639039, 0.4528230471538951, 0.3191970374271207]","[0.036262025394170894, 0.7197693588653717, 0.8145540947470672, 0.3341214344916926, 0.6515054674108244]","[0.38376147736625976, 0.4230221711629639, 0.9589047567642601, 0.8122838041649697, 0.8691789425795573]","[0.7335598328213961, 0.9376115338522999, 0.7117935350371157, 0.11691359443323135, 0.8510230590486069]","[0.7686845974036062, 0.9016475106608101, 0.21618201040361718, 0.4460783696005717, 0.6142793000444337]","[0.9913281993346383, 0.6603853569442435, 0.5451575262327455, 0.8671820210229116, 0.7538683962139128]",LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG
1,10,10,100,2,Time,0.008855872526050468,Nodes on fire,0.02805789710414719,4.528846979141235,"[0.2016282091533258, 0.8351969930658439, 0.8258323396385411, 0.41961770501115747, 0.6012041455312578]","[0.8706790238198512, 0.8026182433552834, 0.9899523072035842, 0.532576524289159, 0.9102772504938816]","[0.706957816739662, 0.5747354487895693, 0.8294181732545512, 0.7752521566521017, 0.6350729017696558]","[0.3445876139813707, 0.5655252965272695, 0.31172796092123756, 0.06922352725344982, 0.49674911354541607]","[0.7853658619020488, 0.5521834902731979, 0.6683576649424816, 0.4335560019547101, 0.02513601744398708]","[0.6408747824723849, 0.29997226769133634, 0.6451089934898785, 0.6074732221191581, 0.9567424791484539]","[0.9109908294973649, 0.37398924903507447, 0.5070021465258716, 0.37868982380841354, 0.02795689670334267]","[0.17074804810255195, 0.2556749206256369, 0.2604442431817573, 0.06505499882432864, 0.8898614209347737]","[0.32475497527508745, 0.08664412312558312, 0.9265987058366331, 0.022727294608862914, 0.3971532777546839]","[0.0130261656151488, 0.3769418945535522, 0.538819425308513, 0.3656545879231208, 0.8641553931321104]",LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG
2,10,10,100,2,Time,0.006433958978923404,Nodes on fire,0.09361100585772597,4.528846979141235,"[0.09562047196135981, 0.8769857911203537, 0.19494499703279544, 0.8656270506595763, 0.17744580116473252]","[0.17032425886102387, 0.7560808300791233, 0.22687163807182387, 0.5171667902548955, 0.06593122991381029]","[0.5229807309004353, 0.9193630089757603, 0.447469713773341, 0.42543252417553845, 0.17631432521421164]","[0.5769745672774247, 0.9254543161755647, 0.926050038063275, 0.44715380770608404, 0.12296632596075863]","[0.34121299056551346, 0.8775118822916832, 0.14138970983498744, 0.6431488385432506, 0.8897670834851156]","[0.8790381945813335, 0.1292954226962667, 0.6146973581843844, 0.01569873542319744, 0.7985094518305507]","[0.8854900887591203, 0.660413915803789, 0.3563356404312773, 0.9672033720355457, 0.3172187070034498]","[0.5485779929403948, 0.34345057834956116, 0.9444505620916798, 0.3922661345751176, 0.035922157220763196]","[0.7923393718381155, 0.4119408795205408, 0.9937866429522928, 0.7451676540110549, 0.4837521460141673]","[0.2875334265327192, 0.7218315338709624, 0.29967797057750767, 0.001450462753496251, 0.3774821025675701]",LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG
3,10,10,100,2,Time,0.0016639926542146855,Nodes on fire,0.3103765397930187,4.528846979141235,"[0.9523914000752698, 0.2855348728085588, 0.7288174645160357, 0.7920817672886888, 0.03182375720405406]","[0.5953034411148594, 0.8973082288563873, 0.05413926720718121, 0.859032723648804, 0.7685815962066225]","[0.27738943575262553, 0.6233528708757493, 0.5197513116986167, 0.17418982313997733, 0.6488707727522676]","[0.9364970699991642, 0.36157538461669825, 0.0013077858963898015, 0.04769335224153104, 0.8170997629135446]","[0.47798091786793073, 0.5984512126424597, 0.27310390144366514, 0.12152940743994411, 0.6907004667070503]","[0.45725591902559504, 0.20207936292749984, 0.8290947859244102, 0.5584464230409599, 0.5182735316475199]","[0.8824841048447404, 0.9000463860419338, 0.7827341170117261, 0.7558731449025518, 0.772577447308261]","[0.198656891144392, 0.6967198287112732, 0.4208614341111485, 0.786718246348431, 0.9409955460153742]","[0.6349766307165068, 0.2095016620782898, 0.5740563376611555, 0.8436589189916075, 0.6429209510335188]","[0.9975896543894296, 0.5783936783327648, 0.14100080292173878, 0.8555393990948886, 0.45437774069872405]",LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG
4,10,10,100,2,Time,0.008874350069847048,Nodes on fire,0.021019207894051317,4.528846979141235,"[0.6352901412920092, 0.061326044512157285, 0.3378487420780184, 0.4443962790949222, 0.2901604197733342]","[0.3410349882489858, 0.9455530262862226, 0.919501924510427, 0.8075511321384354, 0.00015453321646252682]","[0.7042821725215, 0.30623582947070216, 0.17324099356279155, 0.15124075108090906, 0.7555294213453526]","[0.24648331142575552, 0.48918417205094467, 0.8615389733158523, 0.5356029670492508, 0.2540910440719606]","[0.03984583631630445, 0.40449383288999907, 0.13835951820780723, 0.006844027003077735, 0.9242145099932924]","[0.4892458997399217, 0.26100215357298606, 0.8046397970781677, 0.6297990996719863, 0.1940660615749954]","[0.20569374875073843, 0.6924654910030983, 0.9891572548740655, 0.19001042779458277, 0.9343545410199499]","[0.6914943588145808, 0.9128375895407496, 0.4687110730381342, 0.8377623640760457, 0.2775235556603416]","[0.6974413165605272, 0.4513582404532205, 0.5043490773660608, 0.10487876849506372, 0.058250481965465895]","[0.3549464435129974, 0.8607180990092023, 0.6633657130494495, 0.9919464435265737, 0.4487318365704728]",GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG
5,10,10,100,2,Time,0.16581740873812534,Nodes on fire,0.0035596591944412337,4.528846979141235,"[0.8779565416104251, 0.03723778685091372, 0.017468947605367213, 0.07306807445860108, 0.22131502893955468]","[0.9222085221056449, 0.42155596938196993, 0.5234432822558193, 0.24230141365330826, 0.1763513595174544]","[0.19837227890069442, 0.13686878169986416, 0.7568831901013178, 0.0691865501912644, 0.6924714603158478]","[0.35350212271955506, 0.6445702289392755, 0.8939638808167609, 0.13055565862720098, 0.23560494537082466]","[0.40741817487912835, 0.08332769023436581, 0.9111710053476414, 0.3239141950371274, 0.5943916008326025]","[0.755492454734892, 0.38622624289138074, 0.9031577272186525, 0.3200186840856317, 0.3360001774078273]","[0.06808845447012524, 0.7128383929782858, 0.6970230473959144, 0.4011361227250765, 0.01608392422924354]","[0.30971035521881574, 0.36358664449191924, 0.759102218744581, 0.8176394221462154, 0.7693456434974248]","[0.0037913852177495766, 0.8713173092050028, 0.03544141534860579, 0.07289310317798414, 0.0024985447382793735]","[0.2510260595636614, 0.6224470059958293, 0.4270961690921079, 0.9232435471162926, 0.36301115553580876]",GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,GDEG
6,10,10,100,2,Time,0.5788303070799117,Nodes on fire,0.00276013401451225,4.528846979141235,"[0.5968918466790599, 0.866447641415573, 0.5799552989197316, 0.16836552989271691, 0.892153316683551]","[0.7580257830351069, 0.6767280486631364, 0.5853475049927621, 0.04576915991650077, 0.0756360216813915]","[0.0003537942284718154, 0.287714588965702, 0.7231679231544708, 0.7522238580169186, 0.3388966706818366]","[0.4646843762589403, 0.8978291218412935, 0.33079427665609773, 0.7808447673759018, 0.469746438959704]","[0.109277353341529, 0.6460652895934808, 0.5076497510461802, 0.8887868462577224, 0.5320441026034586]","[0.09007847149401027, 0.3433488145734137, 0.2485610854396222, 0.5590202362782192, 0.14580913344040058]","[0.28877370438732386, 0.6465441189693123, 0.5667570841714307, 0.5689433673162501, 0.2760293552520483]","[0.10158520309234276, 0.9517684421740903, 0.7129890528738725, 0.8129742043676692, 0.5248311844530907]","[0.8474157169952414, 0.9469916922530732, 0.46785834266171744, 0.3376347105072648, 0.8298138150583586]","[0.4253035112321877, 0.7894780066267967, 0.8759872792446213, 0.08744580616219166, 0.11571152067157975]",LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG
7,10,10,100,2,Time,0.009689694047350206,Nodes on fire,0.005192894706017914,4.528846979141235,"[0.9093975181465557, 0.5528275928815157, 0.1876185614176079, 0.4769284346961926, 0.8666113304721875]","[0.5364023000618057, 0.2585852488743632, 0.7772097121129368, 0.20056549912992694, 0.3533731640526451]","[0.006069764173122549, 0.28436745578866973, 0.10508872435958927, 0.621033255129137, 0.9382383190707246]","[0.497362386838917, 0.5112312495110685, 0.7056430826428409, 0.3347070960947305, 0.681925826575854]","[0.05941579725368473, 0.5391419838023481, 0.09238636441321846, 0.2820062121151259, 0.6288066323466182]","[0.0693112650574812, 0.8214377529597149, 0.09306801016227606, 0.020191278286419312, 0.5169065466936813]","[0.6960086323050926, 0.7199603202470892, 0.5148280836201776, 0.3801782615433015, 0.7673330385327878]","[0.7097735532827907, 0.35231602242914417, 0.6404340743148011, 0.7913565315012833, 0.20344366328842522]","[0.5606149038454545, 0.4855969024052752, 0.7364946512178127, 0.7945525425246405, 0.5328761864550839]","[0.5913770033696164, 0.8704296198176502, 0.35659677965370096, 0.544919432360584, 0.6579413995704716]",LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG
8,10,10,100,2,Time,0.002816215548219314,Nodes on fire,0.25762360083821967,4.528846979141235,"[0.4525788779076989, 0.9228578634057807, 0.9518434070164858, 0.2953797877532195, 0.5659856083188244]","[0.5352534638728047, 0.7060196675908424, 0.8785142827542881, 0.8444784778359549, 0.40549236695336965]","[0.3759266306461194, 0.19814957952215895, 0.010846428986805101, 0.8537727782635887, 0.8730407190138642]","[0.20167219862171681, 0.9850831178843837, 0.7277532281641584, 0.5317301288075318, 0.8625068626987262]","[0.18096109486711354, 0.04648804398157669, 0.26721268991366465, 0.4417059020558881, 0.5580639266108584]","[0.8721767842257451, 0.4683226501102037, 0.06346918205005914, 0.2594180416231009, 0.6815756941297141]","[0.23832861022906138, 0.4752730486634993, 0.1617169064119438, 0.6417896099561793, 0.644789579607299]","[0.7204527834468021, 0.9153291057371322, 0.2450076637976083, 0.5935692670731271, 0.670703250122964]","[0.5582243836257469, 0.5138448037634192, 0.6567099373070173, 0.6110577148181252, 0.871175983531708]","[0.18675860383352572, 0.020103004482361686, 0.5706658328882495, 0.10591344252105439, 0.7719621846618019]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG
