Instance,LDEG,GDEG,Dummy-HyperHeuristic,Genetic-HyperHeuristic
500_ep0.015_0_gilbert_6.in,0.99,0.992,0.99,0.992
100_r0.169_0_geom_3.gin,0.9,0.91,0.9,0.91
1000_ep0.0075_0_gilbert_6.in,0.994,0.994,0.994,0.994
100_r0.169_0_geom_2.gin,0.87,0.84,0.84,0.84
1000_r0.058_0_geom_1.gin,0.976,0.976,0.976,0.976
100_ep0.125_0_gilbert_5.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_3.in,0.92,0.92,0.92,0.92
1000_r0.065_0_geom_10.gin,0.981,0.981,0.981,0.981
50_ep0.2_0_gilbert_2.in,0.94,0.94,0.94,0.94
500_ep0.02_0_gilbert_6.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_10.in,0.94,0.94,0.94,0.94
100_ep0.075_0_gilbert_9.in,0.96,0.96,0.96,0.96
100_ep0.1_0_gilbert_6.in,0.97,0.96,0.97,0.96
500_r0.071_0_geom_4.gin,0.932,0.926,0.926,0.926
1000_r0.058_0_geom_5.gin,0.97,0.969,0.969,0.969
500_ep0.015_0_gilbert_7.in,0.99,0.99,0.99,0.99
100_r0.169_0_geom_6.gin,0.89,0.92,0.89,0.92
1000_ep0.0075_0_gilbert_7.in,0.994,0.994,0.994,0.994
100_r0.169_0_geom_7.gin,0.91,0.92,0.91,0.92
1000_r0.05_0_geom_10.gin,0.975,0.976,0.975,0.976
1000_r0.058_0_geom_4.gin,0.974,0.974,0.974,0.974
500_r0.071_0_geom_5.gin,0.968,0.968,0.968,0.968
100_ep0.125_0_gilbert_4.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_2.in,0.92,0.92,0.92,0.92
50_ep0.2_0_gilbert_3.in,0.92,0.92,0.92,0.92
500_ep0.02_0_gilbert_2.in,0.992,0.99,0.99,0.99
50_r0.299_0_geom_9.gin,0.9,0.9,0.9,0.9
100_ep0.1_0_gilbert_2.in,0.96,0.96,0.96,0.96
50_r0.259_0_geom_10.gin,0.86,0.88,0.88,0.88
500_r0.071_0_geom_7.gin,0.95,0.95,0.95,0.95
100_ep0.075_0_gilbert_10.in,0.96,0.96,0.96,0.96
1000_r0.058_0_geom_6.gin,0.978,0.978,0.978,0.978
1000_ep0.01_0_gilbert_8.in,0.995,0.995,0.995,0.995
500_ep0.015_0_gilbert_3.in,0.99,0.99,0.99,0.99
100_r0.169_0_geom_5.gin,0.91,0.91,0.91,0.91
100_r0.169_0_geom_4.gin,0.88,0.88,0.88,0.88
1000_ep0.0075_0_gilbert_3.in,0.994,0.994,0.994,0.994
1000_r0.058_0_geom_7.gin,0.963,0.965,0.963,0.965
50_ep0.15_0_gilbert_6.in,0.94,0.94,0.94,0.94
500_r0.071_0_geom_6.gin,0.948,0.948,0.948,0.948
50_ep0.2_0_gilbert_7.in,0.94,0.94,0.94,0.94
50_r0.334_0_geom_10.gin,0.94,0.94,0.94,0.94
50_r0.299_0_geom_8.gin,0.92,0.92,0.92,0.92
50_r0.299_0_geom_5.gin,0.92,0.92,0.92,0.92
100_ep0.1_0_gilbert_5.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_5.in,0.992,0.992,0.992,0.992
500_ep0.025_0_gilbert_10.in,0.992,0.992,0.992,0.992
100_r0.195_0_geom_1.gin,0.94,0.94,0.94,0.94
50_ep0.25_0_gilbert_8.in,0.94,0.94,0.94,0.94
50_r0.334_0_geom_1.gin,0.94,0.94,0.94,0.94
100_r0.169_0_geom_9.gin,0.1,0.91,0.1,0.91
1000_r0.05_0_geom_1.gin,0.97,0.972,0.972,0.972
1000_ep0.0125_0_gilbert_9.in,0.996,0.996,0.996,0.996
500_ep0.015_0_gilbert_4.in,0.99,0.99,0.99,0.99
1000_ep0.0075_0_gilbert_10.in,0.995,0.995,0.995,0.995
100_r0.169_0_geom_8.gin,0.88,0.91,0.91,0.91
1000_ep0.0075_0_gilbert_4.in,0.001,0.994,0.001,0.994
100_ep0.1_0_gilbert_10.in,0.96,0.96,0.96,0.96
100_ep0.125_0_gilbert_7.in,0.97,0.97,0.97,0.97
50_ep0.15_0_gilbert_1.in,0.92,0.94,0.94,0.94
50_r0.299_0_geom_4.gin,0.04,0.88,0.88,0.88
100_ep0.1_0_gilbert_1.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_6.gin,0.9,0.9,0.9,0.9
500_ep0.02_0_gilbert_1.in,0.992,0.992,0.992,0.992
500_r0.071_0_geom_8.gin,0.006,0.962,0.962,0.962
1000_r0.058_0_geom_9.gin,0.969,0.969,0.969,0.969
100_r0.195_0_geom_2.gin,0.93,0.93,0.93,0.93
50_r0.334_0_geom_2.gin,0.9,0.9,0.9,0.9
1000_r0.05_0_geom_2.gin,0.966,0.967,0.966,0.967
1000_r0.05_0_geom_3.gin,0.975,0.976,0.975,0.976
50_r0.334_0_geom_3.gin,0.94,0.94,0.94,0.94
100_r0.195_0_geom_3.gin,0.91,0.91,0.91,0.91
1000_r0.058_0_geom_8.gin,0.977,0.977,0.977,0.977
500_r0.071_0_geom_9.gin,0.948,0.948,0.948,0.948
500_ep0.025_0_gilbert_9.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_4.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_5.in,0.92,0.92,0.92,0.92
100_ep0.125_0_gilbert_3.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_7.gin,0.9,0.9,0.9,0.9
50_r0.299_0_geom_3.gin,0.92,0.92,0.92,0.92
500_ep0.015_0_gilbert_1.in,0.99,0.988,0.99,0.988
100_r0.195_0_geom_7.gin,0.91,0.91,0.91,0.91
50_r0.334_0_geom_7.gin,0.9,0.9,0.9,0.9
1000_r0.05_0_geom_7.gin,0.966,0.964,0.964,0.964
1000_r0.05_0_geom_6.gin,0.96,0.962,0.962,0.962
50_r0.334_0_geom_6.gin,0.94,0.94,0.94,0.94
100_r0.195_0_geom_6.gin,0.94,0.94,0.94,0.94
1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0.994,0.994
500_ep0.025_0_gilbert_8.in,0.992,0.992,0.992,0.992
50_ep0.2_0_gilbert_5.in,0.94,0.94,0.94,0.94
50_ep0.15_0_gilbert_4.in,0.92,0.94,0.94,0.94
100_ep0.125_0_gilbert_2.in,0.97,0.97,0.97,0.97
50_r0.299_0_geom_2.gin,0.9,0.9,0.9,0.9
100_ep0.1_0_gilbert_4.in,0.97,0.97,0.97,0.97
500_ep0.02_0_gilbert_4.in,0.992,0.992,0.992,0.992
100_r0.195_0_geom_4.gin,0.89,0.91,0.89,0.91
50_ep0.25_0_gilbert_9.in,0.96,0.96,0.96,0.96
50_r0.334_0_geom_4.gin,0.92,0.92,0.92,0.92
