,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.1796226488710425,Nodes on fire,0.08018518832899146,4.614256858825684,"[0.6953263354251381, 0.3829330158879154, 0.3377775605176483, 0.5445767668396561, 0.6944201389064663]","[0.39056040911544787, 0.7616515286403437, 0.9420996950720929, 0.1828291064621782, 0.9094800814780785]","[0.6093843882999757, 0.15053765058786528, 0.8094254046696484, 0.801727823578298, 0.7918823390901049]","[0.6178674559793685, 0.5504512796489464, 0.7985383730024087, 0.9421428952281431, 0.1669852427588001]","[0.31534839292533723, 0.8733671040717754, 0.40984614081577964, 0.1922482791251463, 0.8279006218570604]","[0.8387095118555313, 0.03499507681622416, 0.20443471204353214, 0.975516437128761, 0.13413504656970487]","[0.04631795404449468, 0.8703865731596422, 0.42214841293547256, 0.8681985356813051, 0.719050979168444]","[0.56336904824406, 0.5922566748848309, 0.6401437166262345, 0.037543828491436115, 0.28388024306527604]","[0.042675951991531846, 0.658662750483513, 0.5444641913916413, 0.018412163520142744, 0.4929550847866946]","[0.9438012405521164, 0.13421070213334363, 0.6610997334360693, 0.8627902540303689, 0.02471590623185682]",LDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,GDEG
1,10,10,10,2,Time,0.34134827920691024,Nodes on fire,0.004147606914848501,4.614256858825684,"[0.9175334088858502, 0.7158947907032152, 0.4059257758239794, 0.29492733834691687, 0.42554250848612807]","[0.8366630143446117, 0.48956924687888836, 0.5931416375273211, 0.9065428581930024, 0.10984647069740949]","[0.023452774822687705, 0.6844837005604322, 0.23060328726854518, 0.3394951188822545, 0.9799697347527271]","[0.23846313244552708, 0.5990929473839709, 0.16794913409141798, 0.9924511096951334, 0.5334591878089198]","[0.73802419387166, 0.501184688679997, 0.27840062270887667, 0.49668419963366195, 0.6406074333506568]","[0.6517155396748217, 0.8278147733316262, 0.8723722183491849, 0.5857337520691774, 0.011682192630742105]","[0.6376586938442061, 0.6766503944398677, 0.738601818698941, 0.12351656223670027, 0.2494566010568462]","[0.753009809726833, 0.5838216556172167, 0.8767871136287355, 0.5655641740318457, 0.36354271552983297]","[0.332486734818742, 0.14700345580640073, 0.3428390296025119, 0.510965117444709, 0.1741856889156016]","[0.34924250805931467, 0.6322593020130417, 0.19678771197789058, 0.1921738672984128, 0.5451929493577445]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG
2,10,10,10,2,Time,0.005618800082785813,Nodes on fire,0.18018232174165216,4.614256858825684,"[0.7716167202711641, 0.6578655375595778, 0.18596549178793775, 0.14358845258412078, 0.49827999817242297]","[0.9503430305650403, 0.7474715281798747, 0.028327264135547425, 0.3603303035499301, 0.8250025134937525]","[0.06292618407428763, 0.93696840394836, 0.9436115310797307, 0.9943675562103786, 0.8110803288474511]","[0.3118420892651068, 0.6056518045302647, 0.6075804484488719, 0.36711019183285265, 0.8958002921518974]","[0.9893514386917864, 0.16867875261486964, 0.31760009477076856, 0.1591304198525314, 0.9130286475508187]","[0.14639989109311835, 0.30578657372189644, 0.8908033750399197, 0.7536335856602625, 0.8790988802675341]","[0.3553007890812818, 0.6561090894113764, 0.11857443992053651, 0.2863410688730411, 0.8747324312695526]","[0.86519871054616, 0.12081789090070016, 0.11665014873037594, 0.604601205778958, 0.6390366972680745]","[0.1017406707355284, 0.48170301078956856, 0.9863639910795194, 0.6017645783908263, 0.7269590058165527]","[0.4287810571560855, 0.19906195928671133, 0.3425097665651954, 0.23290359461860688, 0.23744368772712343]",LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG
3,10,10,10,2,Time,0.006599110135362962,Nodes on fire,0.11791930377835291,4.614256858825684,"[0.5634895685464917, 0.3260893984526627, 0.4195571737630457, 0.9890303301842489, 0.5646269066806829]","[0.5049601992148894, 0.44638263368529507, 0.018514762742814495, 0.8656191691432319, 0.7537714182812933]","[0.9067100467666696, 0.3890738622103477, 0.1271194683534701, 0.09224691374921012, 0.9979687783487525]","[0.826775845390876, 0.21785312640561716, 0.9287754076505033, 0.9386567615132072, 0.4436004586744047]","[0.8161617571032935, 0.056178830944382696, 0.7475104283699315, 0.4612348916525859, 0.9558568914899006]","[0.7023377995231126, 0.8871075298914375, 0.36773162262782433, 0.930149598314495, 0.6350278021285836]","[0.09584052781630181, 0.4252673642496134, 0.6090523176903141, 0.5848209136474762, 0.07007181887201763]","[0.574359669648098, 0.23154432391629842, 0.9686622389420579, 0.8494585638308976, 0.26510301667358105]","[0.8693970340951273, 0.8111531800463828, 0.8995899216184317, 0.4899972717025096, 0.8755515211777369]","[0.5752437538442543, 0.8390052320095066, 0.3979857645728222, 0.714788614141617, 0.38433547773160415]",LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG
