,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.785323177593528,Nodes on fire,0.024047118464975425,3.8038978576660156,"[0.8357445231522346, 0.7638806375352285, 0.39446506926835867, 0.44495618437232454, 0.12677461650580935]","[0.9007070037390783, 0.8582842420999925, 0.9202801027052263, 0.19267452817056108, 0.32646170441459643]","[0.060627879726652734, 0.06966655251469578, 0.638703323506322, 0.5629510457345803, 0.11887421603350756]","[0.20873926592480585, 0.41854024612045737, 0.3212888899416595, 0.5617327419172902, 0.17033151983097927]","[0.1217944485414737, 0.7444496683019161, 0.586649470556219, 0.0015933290975930214, 0.45668157856728364]","[0.7641489578227242, 0.32269586154631924, 0.18228495419723112, 0.6983981589618279, 0.2577046218932042]","[0.8638865801614568, 0.4985831684767581, 0.9551692208830042, 0.6471399494279103, 0.3948118856805084]","[0.24557464016717, 0.6798511667268665, 0.7613163267664607, 0.7057453879914795, 0.5068995021870204]","[0.06907433436440158, 0.9648252354281345, 0.7092849521538809, 0.07726662122074901, 0.4405216548294353]","[0.3194624661529849, 0.37994830926339207, 0.5261670394876877, 0.2361404633615336, 0.37062281036890943]",GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
1,10,10,10,2,Time,0.09565077125493171,Nodes on fire,0.5586176113767312,3.8038978576660156,"[0.6323182280666461, 0.8520626611242708, 0.2547605052040065, 0.4647861219656193, 0.44050239419254344]","[0.8505367638087041, 0.9277642249696405, 0.2520651602781919, 0.9389601305985914, 0.016462063521517023]","[0.4979423702284367, 0.9203696062847434, 0.41373443232270957, 0.808594502108986, 0.864315713549366]","[0.0589428652648053, 0.38513888342338065, 0.01788884539326041, 0.3956936320518354, 0.6711727428710433]","[0.39709632927058935, 0.10958404127037358, 0.5648546083425741, 0.4485606431670526, 0.7630826153959523]","[0.9013188036052286, 0.13657869161431213, 0.14509788402637536, 0.7838819742841707, 0.7093281543000913]","[0.8478502625891259, 0.21087720500793994, 0.32917008326056485, 0.9480452858921495, 0.3822257693050741]","[0.7962175975785326, 0.5746931898146136, 0.762594765163565, 0.3751109292182053, 0.22579386323992912]","[0.05416424905510753, 0.33534990470806403, 0.3217534965860246, 0.6841657694632846, 0.16365642055818208]","[0.23420851943696086, 0.18153596194790567, 0.9870775174515983, 0.8731720337280977, 0.07344016404774423]",GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG
2,10,10,10,2,Time,0.24703066037564703,Nodes on fire,0.08127450990494467,3.8038978576660156,"[0.4993577657952757, 0.5586446204245498, 0.7615427914461561, 0.8369821231941161, 0.7216688452122528]","[0.9462449969732415, 0.8950414051720729, 0.03282850788073932, 0.2980636038483446, 0.6415492360742956]","[0.059236945256973206, 0.37147074238898214, 0.4352447465610958, 0.7905263196056859, 0.9952878166180978]","[0.5511201803372149, 0.9783500735910721, 0.44972087700911634, 0.47030616411039494, 0.019588263556367558]","[0.16281998239302542, 0.4392625940240513, 0.6244672718698812, 0.48336837265112376, 0.9395724066166089]","[0.5295175792315244, 0.8089292936615803, 0.3681612411515214, 0.1877827913957848, 0.6811312007967979]","[0.3390333807939886, 0.6239764112045253, 0.7978808020534618, 0.1892720261208216, 0.7229356119829329]","[0.9506177031434764, 0.36056477113697594, 0.11240141553055405, 0.11961294236599795, 0.7969113130733163]","[0.7955420429187829, 0.5782510206360879, 0.6360405049289625, 0.35247613650936704, 0.20117848347402545]","[0.37444140516905267, 0.7320751976665842, 0.1727120737859107, 0.5409831734980348, 0.9606731117784479]",GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,LDEG,LDEG
3,10,10,10,2,Time,0.01689197910314777,Nodes on fire,0.7886984727335027,3.8038978576660156,"[0.017146799297738324, 0.6373344357849331, 0.24170733503071107, 0.8345688934998672, 0.555500138739004]","[0.31021997330006057, 0.9401018964338209, 0.3276850493082877, 0.17758239323667457, 0.8898510022025462]","[0.8886405872697039, 0.3121728888965911, 0.03153386034477057, 0.3396419789134313, 0.800019879429929]","[0.19881051096996294, 0.6933826040095117, 0.5200766312730498, 0.8672584860014438, 0.1844134410135666]","[0.1466943658459442, 0.9268149604732876, 0.5821371878400627, 0.9335526856771184, 0.051267433951781016]","[0.6759513914148422, 0.4530689519369241, 0.7416076040281948, 0.9466099739654172, 0.9835599368845424]","[0.8245726252415192, 0.5720295564404276, 0.37320706381662405, 0.8641873512284595, 0.7587257904757293]","[0.19997112254085647, 0.748146604568255, 0.4965348340386253, 0.7623818189899657, 0.43179332531783543]","[0.8421462529523535, 0.16717814327836944, 0.9278678419484957, 0.4663516017140539, 0.23291552277342875]","[0.09095834211412335, 0.584872792076255, 0.7286255082581369, 0.6022296100243228, 0.08374918520732222]",GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG
4,10,10,10,2,Time,0.0509289727226675,Nodes on fire,0.7042069210567165,3.8038978576660156,"[0.7268449690482973, 0.6163580240024853, 0.6212732374567531, 0.7677607427303665, 0.8604294921341135]","[0.0818703169245204, 0.08459613976959757, 0.2222282315909353, 0.9084810924870792, 0.8969694110243763]","[0.48206555195392775, 0.2937032757149699, 0.8300741287587993, 0.08778030190505437, 0.5146876554939008]","[0.993296391444582, 0.8817598822763728, 0.1629179113383371, 0.1977572019728261, 0.4212201016008905]","[0.06768182335435813, 0.8804629035436664, 0.07642413001269033, 0.39150796684881417, 0.1534460651428181]","[0.5690521129416748, 0.5967623250284376, 0.35152076416639466, 0.8485009601096073, 0.5535621454454248]","[0.45388276538700456, 0.3400154261414393, 0.4108804354270056, 0.8765158178964788, 0.22892318033920955]","[0.3925071881005435, 0.1047621404510497, 0.19006768928924112, 0.09483783677582858, 0.940979753894882]","[0.8447421525310814, 0.8309086833750898, 0.3739699979699528, 0.6216582399906546, 0.30335785211545585]","[0.8244860634734384, 0.025713912906009884, 0.9373318096508602, 0.797198011290323, 0.8875319081436251]",GDEG,LDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG
5,10,10,10,2,Time,0.4388547724259094,Nodes on fire,0.05477097398927655,3.8038978576660156,"[0.9141362113581546, 0.4408303974612324, 0.783938033339595, 0.3279856252348111, 0.9007009289536781]","[0.6091888418478242, 0.33014850937788, 0.26347915982212233, 0.28330587246854444, 0.03663541100298573]","[0.46773751056520885, 0.8388470051827672, 0.584466910992827, 0.6946751608651265, 0.17197949878076446]","[0.5488620282894099, 0.2637086674293593, 0.11972833630404944, 0.3615664020880597, 0.9436064925041108]","[0.7323757344745174, 0.4272597943637124, 0.18300609082278818, 0.8440802688377678, 0.40349046177033765]","[0.28545734274914525, 0.1874579604278599, 0.32534086907187054, 0.603713516934299, 0.32393569269935696]","[0.8881223035007045, 0.5719743828916417, 0.14867923639155056, 0.39375135018573837, 0.18333288518761992]","[0.8340004924718224, 0.8309028792434204, 0.6106907086262184, 0.4128523377982193, 0.6737855563197552]","[0.004907129207507688, 0.48977402530060055, 0.19750848751937888, 0.9215151974397736, 0.6765001345451324]","[0.7829576983462708, 0.8360629393172323, 0.7972605527448933, 0.5414316539095035, 0.24382979992772058]",GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG
6,10,10,10,2,Time,0.5484862630203993,Nodes on fire,0.024595724428968846,3.8038978576660156,"[0.4709453298395586, 0.740889639267216, 0.16730849691221517, 0.6610609544936735, 0.33361069350995487]","[0.23043495919321433, 0.8719277373661083, 0.1340422108582835, 0.7383844426155809, 0.03470373692011397]","[0.009594094855870483, 0.8534924566077355, 0.13337528408216315, 0.3323958551571846, 0.6476563618818791]","[0.66995015340279, 0.7029961269028703, 0.24035390166504456, 0.7131713410378719, 0.4747461775549301]","[0.44582826293047406, 0.11154713043672915, 0.9559687266406104, 0.6582095878508355, 0.04640308105859081]","[0.9578003680336047, 0.5703861761672605, 0.6592984526456179, 0.745589882158069, 0.27309662930965717]","[0.4570813293039985, 0.8333272214401893, 0.7137580286300235, 0.005991012353678271, 0.8028305851457489]","[0.891435970320023, 0.787990604877509, 0.5539315046558543, 0.7360695383699947, 0.32040512952903644]","[0.45713284112874886, 0.8470109705483823, 0.6997183641260467, 0.9207467012665237, 0.5179544176370575]","[0.3716499352162581, 0.753845391750317, 0.634618676701173, 0.13838061376162403, 0.05612861340386488]",GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG
7,10,10,10,2,Time,0.5331803575715617,Nodes on fire,0.025495275175811072,3.8038978576660156,"[0.7282118821495958, 0.27455320035312836, 0.8081681441788399, 0.9859274405294985, 0.5063844981184327]","[0.3934540721609737, 0.6816440666066379, 0.35373505945893036, 0.3323316726790222, 0.24509325448794606]","[0.2880254213487853, 0.8910709236431299, 0.10361946023270063, 0.35984913842224653, 0.841895781992065]","[0.18002089062027993, 0.45223662374113516, 0.004598592282636593, 0.6660629180488493, 0.31766020113453053]","[0.7285421823701134, 0.7211318998261463, 0.5328062023564378, 0.2070965823866756, 0.7398487171339264]","[0.25409295228198314, 0.7444441824757514, 0.584279076080935, 0.7614858842817382, 0.8046974672552532]","[0.8480365127850389, 0.8828858299877106, 0.9349057133451739, 0.11901192498584734, 0.9033320539508833]","[0.5991181684219106, 0.14369590332718907, 0.6796753476922209, 0.6232817495265786, 0.8494629028919622]","[0.7222990799734411, 0.4087288026200395, 0.9995212356098055, 0.31122776392423, 0.6634486582187786]","[0.4918876976355948, 0.32033177375251154, 0.7696871523465819, 0.7809281753910912, 0.5136719369465302]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG
8,10,10,10,2,Time,0.8796186315304945,Nodes on fire,0.0034753353516495666,3.8038978576660156,"[0.7469591126052846, 0.16934337789732645, 0.6255905856795135, 0.2860220852301899, 0.17400929271915644]","[0.055830820091997135, 0.14741946014026852, 0.4863928923229617, 0.3676825861768047, 0.011492300577772951]","[0.5681468368348674, 0.5693562555306008, 0.8282074125003094, 0.9540764740831434, 0.3612853642331527]","[0.7343065395424595, 0.8060836590138933, 0.6797432500411693, 0.8523207973381596, 0.19454323807912588]","[0.31155050271964435, 0.18280491075113803, 0.8103857973148739, 0.5792228215171258, 0.7229933485323224]","[0.42543233081313336, 0.8970908264519067, 0.4425039670731131, 0.1757381065717285, 0.21376407717445733]","[0.14518049702120117, 0.34733695762161054, 0.5609398689469259, 0.7304293463293196, 0.8767941408743297]","[0.4001023787614585, 0.4725577432553111, 0.3671345754151282, 0.03701701212054331, 0.0684047959385845]","[0.6087424613188602, 0.5286227450811086, 0.6681512799413286, 0.0827456402820057, 0.6505944841470539]","[0.9888139419345012, 0.445716491723644, 0.4967455992330606, 0.4418799517576718, 0.4545839856452988]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,GDEG
9,10,10,10,2,Time,0.09722212572587663,Nodes on fire,0.09709668258837023,3.8038978576660156,"[0.5666395050778302, 0.025138969447081827, 0.7484952244999319, 0.3053360872099843, 0.4117559946321864]","[0.7194643035654097, 0.20312387792861186, 0.18293586864004197, 0.541388351804891, 0.6119610980331932]","[0.5655246559094576, 0.9441327604088369, 0.6332592073320922, 0.25298999043970194, 0.7876819542026026]","[0.01701624309295302, 0.023107622869365074, 0.360383318701162, 0.23235913612952408, 0.538116873044732]","[0.8449866588865053, 0.3233946118544543, 0.40539888326896967, 0.6247222360342097, 0.6731546701372557]","[0.5393124677988477, 0.2845653455428804, 0.9049160708985284, 0.26312418357028455, 0.3192117354148104]","[0.040053573522283115, 0.4342774580500204, 0.5554921620820429, 0.4005261886530115, 0.7479136143545088]","[0.19880694794606002, 0.05873094832728709, 0.14834843964224964, 0.6786384174626899, 0.6569760362253716]","[0.7530858591331152, 0.2282030470607136, 0.02712710625214687, 0.41793405797993854, 0.8767118531687822]","[0.38549932012989974, 0.5383813552131073, 0.4656750130547592, 0.49673686826460384, 0.02125656339909021]",GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG
