,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.8760110971589499,Nodes on fire,0.005527246160324739,3.6242427825927734,"[0.9262879036346431, 0.7246482481661123, 0.7617556254253467, 0.18394207555250908, 0.40390116654814934]","[0.10667753211010245, 0.027622709749325125, 0.015592761179178405, 0.7417532297030517, 0.23780352546182182]","[0.327161436208099, 0.46662284146919764, 0.8001529071671515, 0.5604131305124198, 0.7732170181590853]","[0.3351074347230304, 0.025679531918872067, 0.46267546703708107, 0.11075646903805769, 0.33192959299720803]","[0.7827213305831993, 0.9276233317187287, 0.0017741227397202186, 0.8842853345704539, 0.3813322014979481]","[0.9682755783630251, 0.8595666169798691, 0.8845976824969369, 0.47608473543052743, 0.42740006809568665]","[0.4325312461930252, 0.6567683033220238, 0.4507916238709134, 0.05654219174097308, 0.552207152135197]","[0.5382111793867814, 0.5459218193875176, 0.21943466093915842, 0.12541256524004263, 0.2409821774419859]","[0.06930126916393686, 0.7549556223251539, 0.05113715138373054, 0.5202566784281487, 0.26755665922856775]","[0.05396882453190455, 0.15333697508598443, 0.7729036510228227, 0.018084409519758426, 0.830340795702168]",GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG
1,10,10,10,2,Time,0.061192905898186156,Nodes on fire,0.043272891403993485,3.6242427825927734,"[0.7725567867780598, 0.7022322394553847, 0.40216150361747427, 0.4343068292370229, 0.6960971666811201]","[0.9263430788255496, 0.654790960563486, 0.7355294268448561, 0.6798239779566725, 0.7367118788331691]","[0.8776911794544632, 0.9998880673306574, 0.881748722104326, 0.025123731697478946, 0.22387981338641327]","[0.8041817502862528, 0.4266343409782327, 0.547032169665738, 0.582828635293274, 0.8514295729201709]","[0.9169963269018369, 0.5090444865447562, 0.08990210203273918, 0.15058209745186935, 0.6379070415275987]","[0.43161194419773996, 0.7428371659899624, 0.8431919450879822, 0.5404438459990294, 0.46599889547681383]","[0.8533675365991144, 0.5445315056302679, 0.33964944087439586, 0.02888137932108148, 0.673667397022868]","[0.7336217605757944, 0.8823079198962824, 0.5218561236065181, 0.3757568125292995, 0.7882395296065824]","[0.37289533441696554, 0.42751794394973075, 0.026190197344030497, 0.061392187804997556, 0.4802112202631357]","[0.3751521242481044, 0.2502814072588677, 0.8747474985030994, 0.21213747610956735, 0.785092128253154]",GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG
2,10,10,10,2,Time,0.04650314216287965,Nodes on fire,0.07531096391285985,3.6242427825927734,"[0.85218680605364, 0.29122749488059296, 0.08736670941434765, 0.3301033416684549, 0.39870328967435065]","[0.3507755389949808, 0.14919345392687777, 0.35241564158379013, 0.037617649546602405, 0.9707422548404262]","[0.00874596656512705, 0.1159790777524442, 0.3529886672162076, 0.8317480366557688, 0.17697645672396645]","[0.5619608054671745, 0.10602576880800807, 0.8337478360884109, 0.6290866142495678, 0.9104882753827165]","[0.15779803076954546, 0.4938785275676105, 0.8838107173053766, 0.9073287106017489, 0.6604425253847233]","[0.7863624177553362, 0.4905853327728952, 0.3612941848069393, 0.7066530994647618, 0.9873714638426753]","[0.8794678136457937, 0.08317101339622623, 0.8251328025187439, 0.7247319644520664, 0.5514126655181283]","[0.5844271221778181, 0.6108143736235063, 0.4044013321276939, 0.32204060725989003, 0.6091001202485076]","[0.5310408976588855, 0.45873115697288025, 0.18481266641527327, 0.20612089684573376, 0.8974182165466883]","[0.05208287067160833, 0.7447045920776184, 0.9761297193270083, 0.7736147495426668, 0.20911525328313563]",LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG
3,10,10,10,2,Time,0.09913631132055112,Nodes on fire,0.041168353645128275,3.6242427825927734,"[0.04780564595092551, 0.16573932199640762, 0.39215539017162715, 0.7655683008989639, 0.09767751768310795]","[0.7246299444549481, 0.9244771727555834, 0.8789839488202656, 0.8920238293739755, 0.003306885332857057]","[0.03742103929835627, 0.5518860919539638, 0.3971753557908404, 0.07151971375736454, 0.8819204289981549]","[0.8692648197055387, 0.24249496416252814, 0.07279751841265125, 0.3437949214562257, 0.243797059522194]","[0.08520765732609925, 0.3058320934143204, 0.3211047246066582, 0.7902177072154516, 0.9123919311610635]","[0.45905998012472005, 0.7809385059229752, 0.5588466939377797, 0.8311197972953766, 0.6317128369501002]","[0.7659111531328874, 0.8659192003331564, 0.825882132988608, 0.05250545618179303, 0.6400926878075031]","[0.9215801872701467, 0.8613272714622524, 0.3318624637289307, 0.3587645405179949, 0.03407523314806882]","[0.846933830755481, 0.47751744631800985, 0.3111583794488244, 0.02808507717631248, 0.6015194676393034]","[0.4178918915618838, 0.28037714702209326, 0.11419509409416106, 0.35207471881621943, 0.23949644189736607]",LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
4,10,10,10,2,Time,0.31810404980147167,Nodes on fire,0.029250153629903797,3.6242427825927734,"[0.2704800793346419, 0.6203094562231846, 0.40828070236328684, 0.35714134221715943, 0.9577133456474032]","[0.44516399578750787, 0.7539385606994582, 0.8744591915765494, 0.6008924560087551, 0.4246806831209309]","[0.8010471839642335, 0.23584429649713723, 0.9499544401596473, 0.11618640083249732, 0.17680385777090646]","[0.3346735403027358, 0.43452572450763416, 0.4922688650307957, 0.4804134195609878, 0.379172495171877]","[0.5159727360125647, 0.8788414040918614, 0.8356216978943656, 0.5972612436575125, 0.6135435246438161]","[0.4356469791748634, 0.312027372027614, 0.14053474270404176, 0.9624277031659221, 0.6611501788254351]","[0.1309759397603577, 0.26694902761727857, 0.5065557695427573, 0.41294411481534077, 0.24752774210583184]","[0.1895732378125029, 0.854387813682761, 0.5002334813666633, 0.8800389394402962, 0.6501350662362533]","[0.9099682346446537, 0.9893109712838981, 0.2074501204850948, 0.25341153890704327, 0.25027961826292644]","[0.3591173928885729, 0.6310875483436865, 0.49089723470563007, 0.4204427630344133, 0.711467086623852]",GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
5,10,10,10,2,Time,0.0025305163568397626,Nodes on fire,0.17371559401855985,3.6242427825927734,"[0.06534882586436108, 0.10408044124875848, 0.010043879439155634, 0.599423031805326, 0.31413707323834683]","[0.3448843789776338, 0.6897824134094919, 0.5088531118194886, 0.07225205311793192, 0.256294341681211]","[0.3455789712532512, 0.45420671163303017, 0.20450302628934036, 0.5093903332102391, 0.44232631518735877]","[0.025600623166898595, 0.5702360899840362, 0.29509889311697723, 0.47229122958131353, 0.19291747499780565]","[0.054866503128064736, 0.2899535634165966, 0.4218002485857497, 0.351699792739975, 0.7304252564769526]","[0.5312028985217535, 0.3086535376175279, 0.7735690230062122, 0.9352647649372069, 0.07494438917442303]","[0.39528116775113564, 0.8710045307616594, 0.29188747179728525, 0.7406010128097017, 0.8949486284948949]","[0.038628629307406404, 0.6333748325624291, 0.22276114448477913, 0.18948131610751917, 0.6644749941452159]","[0.6704219679050037, 0.6218126356743052, 0.738448956264011, 0.9344856491222338, 0.6713701290723666]","[0.49900943414119137, 0.9489286304685473, 0.06290584828573909, 0.8121595163713111, 0.5573378870692529]",GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG
