,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,H1,H2,H3,H4,H5
0,5,10,10,2,Time,0.10405559211249005,Nodes on fire,0.00532736652317467,0.9240431785583496,"[0.15529012783007767, 0.18573623129156613, 0.20606904761866707, 0.5990473064724308, 0.19911959232003107]","[0.4167107993443966, 0.24650186959164022, 0.47552750575736635, 0.305540885805596, 0.17421542664391543]","[0.7087320050744468, 0.8477244596098102, 0.5949106219414937, 0.11173921675269105, 0.30948128007327014]","[0.0808199586765832, 0.8958414148845133, 0.14815710842067764, 0.14735951641393918, 0.4514694494142226]","[0.06754941710692042, 0.02077126306181254, 0.7907398920805342, 0.4919922160968181, 0.41001748684568584]",LDEG,LDEG,LDEG,GDEG,GDEG
1,5,10,10,2,Time,0.054324047045371304,Nodes on fire,0.038146447911644676,0.9240431785583496,"[0.10564536371940869, 0.8127295711838739, 0.6680625561850199, 0.9788466169385817, 0.4516344700354472]","[0.5769660396126964, 0.9330977185521514, 0.7835794597946569, 0.8122614617177087, 0.2815173330632432]","[0.5552607215474968, 0.9399706851883762, 0.4956359868839143, 0.5244815438572236, 0.6876723773939228]","[0.7320580615626139, 0.6921179946087843, 0.6518902825282602, 0.13822071243666056, 0.44885341938252044]","[0.35029443576538544, 0.6077940037490079, 0.6717560168256421, 0.7033296802605147, 0.7147514951594252]",LDEG,LDEG,LDEG,LDEG,GDEG
2,5,10,10,2,Time,0.02471267279692646,Nodes on fire,0.10722471439550652,0.9240431785583496,"[0.8891919192373962, 0.7805575285101063, 0.913738645775926, 0.22359146365742077, 0.2057180055126473]","[0.5645839977265642, 0.1536707678043202, 0.036081965228368595, 0.1949897360538667, 0.08458800817943479]","[0.7174951917090194, 0.1634178341909297, 0.6177928162635653, 0.2917273781114743, 0.7917383682063965]","[0.5631220393926915, 0.06697340510280425, 0.9761888145796972, 0.8744755844355466, 0.18592843840157358]","[0.5918982136682838, 0.9184624328591012, 0.7096240470968204, 0.7394658422909031, 0.056218675856549605]",LDEG,GDEG,GDEG,GDEG,LDEG
3,5,10,10,2,Time,0.01754291535376562,Nodes on fire,0.3953580755917049,0.9240431785583496,"[0.54265540287051, 0.42559195173377595, 0.52424950938242, 0.47275146821616876, 0.803598320681298]","[0.2871510841698707, 0.8614859728986741, 0.12455568934748584, 0.9901071244620727, 0.137551501454384]","[0.08486651074683371, 0.31756357770410704, 0.2687003169584212, 0.14050766502147882, 0.7933781182930633]","[0.2962992218315652, 0.7466802709008356, 0.3819273392895868, 0.09830512314742867, 0.43535780547900704]","[0.7473152344438599, 0.9433745923433329, 0.6227019140691936, 0.8328686830838883, 0.8990528375001968]",LDEG,GDEG,GDEG,GDEG,GDEG
