,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.006570829407926082,Nodes on fire,0.1351222318266625,3.416137218475342,"[0.45044534278825277, 0.9962830785093805, 0.9948865392944058, 0.6356693876402253, 0.3119484848507499]","[0.7668902365292588, 0.5318412589338818, 0.9096891695261785, 0.5207317191702645, 0.8189925318528133]","[0.7917199983852531, 0.7029112001684076, 0.09504150061134242, 0.5858794809648796, 0.5635532923099074]","[0.6875429343311416, 0.5343089973199626, 0.010582085878898972, 0.1794082330717427, 0.15903794982549202]","[0.4486633345289137, 0.2274261440223998, 0.5830488913430153, 0.4809823599947165, 0.8527211218744368]","[0.3126975110306339, 0.8162949449908047, 0.7839308562255907, 0.7141654651087164, 0.38784655752797526]","[0.16570739738468498, 0.9224124909211664, 0.5170700866139641, 0.8282069362917583, 0.48691505761419873]","[0.013319410899174988, 0.2032844967330284, 0.5206859774648734, 0.6107869925712573, 0.8514811034632919]","[0.6290595435208168, 0.5035702264789519, 0.8741675676222174, 0.9361377715223858, 0.5406557789896923]","[0.47499455123168255, 0.4712138529069151, 0.012430916660860936, 0.427825451917916, 0.09067086782844525]",GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG
1,10,10,10,2,Time,0.13566371688376822,Nodes on fire,0.012531842494839851,3.416137218475342,"[0.6021057883414539, 0.684058770864438, 0.7877677710239624, 0.07893830609608476, 0.7109405235627718]","[0.1683845960052064, 0.04581062581465856, 0.8559720159154707, 0.33341281289263724, 0.33546115186343795]","[0.7978906930380979, 0.9864279903312243, 0.2025754718729691, 0.7642853477989483, 0.7002856747599406]","[0.416386070763896, 0.8834359316123627, 0.8068258327759914, 0.703965417619501, 0.6464519346941832]","[0.4206754788578807, 0.3882403541609295, 0.9478633998467049, 0.7783936453311944, 0.22522812536481085]","[0.794123076124705, 0.09703483008717673, 0.3613440913693101, 0.9008807348216767, 0.1420027228543873]","[0.022553005101120793, 0.22405497524048568, 0.19812695139769798, 0.5887332812196956, 0.30383014956174437]","[0.22888463717706564, 0.9354167934183752, 0.866366936413642, 0.9596433542404504, 0.041898271821730226]","[0.3124859545073768, 0.6769214178605154, 0.018650527856157284, 0.930515669039468, 0.6084442879597455]","[0.09494857259882461, 0.5059521561198655, 0.994820935509723, 0.5766742573719046, 0.5583371340571902]",GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG
2,10,10,10,2,Time,0.018060184856780515,Nodes on fire,0.05305064398446646,3.416137218475342,"[0.8118654038943333, 0.7886480762550367, 0.14979409054323278, 0.30418047080436883, 0.3540761295536756]","[0.050374460188767234, 0.105636601169241, 0.22584684648547393, 0.5254787079345149, 0.21129374124480027]","[0.28216637195579075, 0.4851410662673654, 0.14596178665767567, 0.791200605729061, 0.05669925156236266]","[0.6823729568659601, 0.6263467809792286, 0.8163142021915427, 0.3511859147301244, 0.32480356786802766]","[0.18960737024813434, 0.7635546008449646, 0.5159283882524653, 0.4773190955188241, 0.23021443662236074]","[0.007177389488898123, 0.7590533604236162, 0.04043411624753124, 0.802690682214702, 0.3701633411215578]","[0.5599252300371752, 0.9594769208389644, 0.2537766037712902, 0.6920530906003712, 0.8809836029965902]","[0.38156008868214786, 0.2417525337907418, 0.48784694581636445, 0.9864638593602795, 0.14234604391680616]","[0.7844695736795495, 0.8613100291744171, 0.8724174160082495, 0.7724289440243216, 0.9729405775931326]","[0.20361022228131664, 0.5024026286641622, 0.980381279747326, 0.8488701087457172, 0.7911983309982706]",LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG
3,10,10,10,2,Time,0.003456347944737259,Nodes on fire,0.7461938500515805,3.416137218475342,"[0.1607997973323061, 0.7489713500883228, 0.43215409626003143, 0.8662212605724828, 0.3999199184922797]","[0.9085144845645069, 0.9559316318248011, 0.46351819337876377, 0.7823541994246329, 0.8315931510281946]","[0.5556434950563472, 0.6154327312593504, 0.580001061172902, 0.6881566442799973, 0.2144486340774565]","[0.4780271748987568, 0.3264655309751926, 0.6722417785553575, 0.9716894223440731, 0.7510871696474786]","[0.906432583334236, 0.6759416420643187, 0.346060611943277, 0.7551816764280326, 0.17311475437960955]","[0.0030053130834332142, 0.7575407414160802, 0.3281956421794172, 0.37457688686882273, 0.22989708538169296]","[0.003237079961010192, 0.9025354221050533, 0.45346223069629654, 0.23081088838435893, 0.6511612605817783]","[0.7600302193921786, 0.8153496506443263, 0.8575587963584778, 0.22683319283915904, 0.7464005753896022]","[0.5301749688102336, 0.377246526081754, 0.0019181412901766448, 0.09485537940034894, 0.0007397861447325793]","[0.9359287202561204, 0.015623509643932665, 0.2055748115980649, 0.3559424777969392, 0.19705451064179103]",LDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG
