,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.738883886842874,Nodes on fire,0.0007437014857988311,4.180150985717773,"[0.6563624388391958, 0.33811314320661645, 0.5357512967619394, 0.49639352046660035, 0.8481350706786067]","[0.9030747092171202, 0.7247977245543344, 0.08676995936989551, 0.5332585438431054, 0.04006053503138918]","[0.6741785427393705, 0.4505664451342233, 0.6399653216219955, 0.9036838695823343, 0.8787997701806185]","[0.27043026056014274, 0.25658614763670784, 0.3971382621056906, 0.16467738926351427, 0.11823904033916388]","[0.09495129782369904, 0.6068538811614672, 0.9177659325175743, 0.11786008147717009, 0.16558876815520285]","[0.5546678588552338, 0.19219739284730974, 0.32973808419151074, 0.4222350944493428, 0.650069475428812]","[0.43836156547241856, 0.711390181082366, 0.6523137059257783, 0.9119850294137796, 0.4776557741894255]","[0.8747049156723748, 0.10793700676243179, 0.592623781532124, 0.4496786987693402, 0.9022596995908526]","[0.21024708905471723, 0.5696986997875348, 0.7670333532146684, 0.6637887721274193, 0.19329828726079812]","[0.2425536140173129, 0.611629814252868, 0.7650231963565033, 0.0461473837544677, 0.3452132841803066]",LDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG
1,10,10,10,2,Time,0.48481772368439713,Nodes on fire,0.0066752340091678075,4.180150985717773,"[0.5098492795461296, 0.6652133142681522, 0.5454415588322039, 0.7980172380453301, 0.2780111680848173]","[0.9736389936022855, 0.03906088696581389, 0.7647367180719982, 0.2850810396967294, 0.7735524266645226]","[0.9968607627867981, 0.11371750891208532, 0.30334212355016965, 0.22861218649245008, 0.1612139669805459]","[0.23348504949632576, 0.3907373321831439, 0.7323007470526238, 0.29602256996165766, 0.894781273606396]","[0.806373011658198, 0.9838711458964289, 0.05775163166463515, 0.2783360424301734, 0.32571630217330205]","[0.7224403128277646, 0.524977633909743, 0.7476260380166376, 0.4597562235404433, 0.304272788247157]","[0.8056663204882755, 0.17329201570812658, 0.7071350054752306, 0.6819056209399623, 0.34388943462959]","[0.56365574940514, 0.26079294524847907, 0.4025841695167268, 0.10460659842416209, 0.6749332934647825]","[0.04847509012809392, 0.2793065847842099, 0.7456400228160701, 0.35412558789808, 0.3647379736705596]","[0.29066692225055146, 0.5251533374519606, 0.9215727186258309, 0.03736778982933209, 0.05908637324618271]",LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG
2,10,10,10,2,Time,0.10416760647744383,Nodes on fire,0.07652498193248203,4.180150985717773,"[0.9912935837380894, 0.03628127210212706, 0.42314113045260027, 0.8603352349590501, 0.9590564386841552]","[0.24271933445339267, 0.6691543333389441, 0.7057651510128672, 0.16888232490175648, 0.7168219254796405]","[0.4656577841692098, 0.4766368445400776, 0.7896918620252666, 0.6910079873354918, 0.1830773546240203]","[0.6820339839324627, 0.7565328595334706, 0.5813473210906825, 0.6354726200373114, 0.33881848279686]","[0.8230352958684528, 0.7000636139897244, 0.943975658189746, 0.6449189395479443, 0.04052770693482344]","[0.1440225137685044, 0.46388314646676776, 0.9087606055528562, 0.31510960786880726, 0.23329805149897498]","[0.6250641028471152, 0.378297155120188, 0.4702780648922671, 0.5717789661235452, 0.6002090972400043]","[0.4122119832880635, 0.6360680244519912, 0.6409191738371015, 0.4893728127115068, 0.37054891513112864]","[0.8503533735532959, 0.19451161494307423, 0.8807726451177137, 0.7076940013685599, 0.15569009252249832]","[0.7802327557123193, 0.46932805113062803, 0.42154180330951485, 0.9816133620786607, 0.5267030789219486]",LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG,LDEG,LDEG,GDEG
3,10,10,10,2,Time,0.015183646809320273,Nodes on fire,0.45358256205559944,4.180150985717773,"[0.9879968814910988, 0.4284256704648055, 0.551934394724549, 0.5237844096428634, 0.529003977003433]","[0.5217628246373511, 0.8053283389919739, 0.9554687458047963, 0.31012712703784273, 0.08240039146867861]","[0.5676828238130471, 0.2483939592348412, 0.2293763571898605, 0.19988281060514168, 0.014785245928240598]","[0.14039066570919934, 0.5889021877128495, 0.9884052865386409, 0.9072591115560964, 0.14610788157465515]","[0.6260525913334352, 0.6477455157243213, 0.6871039700808406, 0.9153864610248867, 0.30336710899946606]","[0.28936939070033396, 0.1975108379787014, 0.5810665845477991, 0.7484958754471921, 0.4043079903742093]","[0.2664770675860586, 0.8823188267679105, 0.49974706002979197, 0.5515736463738029, 0.3703575142437967]","[0.7985913483194793, 0.7741133245100993, 0.014006100703413349, 0.24562703818827358, 0.6158436233498837]","[0.7333692843272958, 0.7450886230042931, 0.478555560296407, 0.17080737667954005, 0.23332184549283586]","[0.31909959279136224, 0.9999061953748678, 0.9291574062400453, 0.16373926484744006, 0.7240123095816559]",LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG
4,10,10,10,2,Time,0.07387789862128513,Nodes on fire,0.09582477633270248,4.180150985717773,"[0.91387589583027, 0.3886880249180471, 0.8649923738391083, 0.1353779899335663, 0.6425544567476399]","[0.2494118479950439, 0.32025937752285305, 0.13809298795061253, 0.8342545895675875, 0.8734230282656598]","[0.7140637931970523, 0.8377417855542284, 0.46261784564549047, 0.20654423852004933, 0.19780002614485914]","[0.45566516532389345, 0.382788907566848, 0.6293668471162566, 0.8695466887751719, 0.1882568360363689]","[0.06464549987612511, 0.780753243317321, 0.695116893306461, 0.7270763638092143, 0.9527766924718254]","[0.3307670979478514, 0.7856878021633371, 0.36979675626310904, 0.09532144540585219, 0.48247630939028774]","[0.3774365459286525, 0.10731468622017415, 0.5103221916349129, 0.6657718653915504, 0.3392997914932777]","[0.9490975645060838, 0.6499235885456385, 0.9181390145476691, 0.7053106084903211, 0.5445893285418799]","[0.9994000897513444, 0.8420134315720431, 0.4274366453751759, 0.6493085820468119, 0.35110670748828143]","[0.7219443656837106, 0.3837001100459708, 0.4846892510296742, 0.21284872116751452, 0.7502009248506125]",GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,LDEG,GDEG
