,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.7588164278470524,Nodes on fire,0.009017527375567158,3.410569906234741,"[0.5587070881414007, 0.5996507053793483, 0.340305070980614, 0.9807063553949198, 0.1847410445462223]","[0.40289411982397016, 0.08217878649023014, 0.18200102588531897, 0.6631057180087816, 0.4117423534311184]","[0.2791509506858102, 0.3541445469312865, 0.7150927074399243, 0.7059482950382333, 0.06856805516472142]","[0.20396109345628266, 0.9922061945020679, 0.78233288409186, 0.683125138845546, 0.4001919121053714]","[0.7268150959057789, 0.4969810631331695, 0.49761871807971203, 0.8056834406179307, 0.590044776438607]","[0.928989254012594, 0.8954026773090958, 0.2391581421606428, 0.6214499221596368, 0.11431601462475272]","[0.8429450791132975, 0.4419514135796332, 0.11715619251401033, 0.15969318219942397, 0.24447754789791842]","[0.39456509210443347, 0.6668132369462554, 0.7558845437583601, 0.3188721368916795, 0.09305308738775164]","[0.7420808171181861, 0.7382840836677179, 0.7722132429954744, 0.02159233859992693, 0.4349668640998767]","[0.7231365500630803, 0.16381490323348857, 0.17309045444878257, 0.6137673316110772, 0.4562139476111353]",GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG
1,10,10,10,2,Time,0.028730163981754875,Nodes on fire,0.08958178156496599,3.410569906234741,"[0.02693741920723347, 0.17649047598238254, 0.11965449656858584, 0.7889738937047066, 0.45083583831611407]","[0.8368649680896361, 0.23835759526311073, 0.22006798832327756, 0.42519400126774476, 0.7277449648902496]","[0.886905578294864, 0.2292353703019535, 0.3338142905929048, 0.08045569965387556, 0.22791565684548043]","[0.3060375405182184, 0.8428491821472431, 0.6475615859670836, 0.7043125589461541, 0.22020451904690486]","[0.9140779638458643, 0.803980702029962, 0.8394876216248187, 0.9103276591241249, 0.4150277043792201]","[0.553155167493565, 0.08574253540731824, 0.5411634212005388, 0.7717063876961249, 0.017479881950682397]","[0.1107748573375199, 0.15215758862043172, 0.6586671655551439, 0.8046844407447302, 0.11135928618833923]","[0.011297582740421142, 0.6376982363587251, 0.6973306492658473, 0.13308525554532757, 0.5847598163548354]","[0.060201557496300406, 0.8608758656282747, 0.42025955615694355, 0.016871618842165037, 0.7249448242310342]","[0.9677522681533403, 0.17735688984446596, 0.9901550645933218, 0.5983385099895112, 0.06670750045569851]",GDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,LDEG,GDEG
2,10,10,10,2,Time,0.6054085789040391,Nodes on fire,0.024904810937648847,3.410569906234741,"[0.9515235492762028, 0.15846866335583565, 0.25048611774031593, 0.5118154267163084, 0.46947860387873397]","[0.10070692686168214, 0.5366047828741448, 0.4556505592091822, 0.4899869545125958, 0.09639080083682294]","[0.09015098929585574, 0.803242273183225, 0.111641598325384, 0.7249903026284088, 0.9621863681003993]","[0.04772243045437241, 0.4534780477464244, 0.38448020449948794, 0.2416015172373588, 0.6584112244879333]","[0.22657624666051202, 0.7799238647900693, 0.11678444730615645, 0.48159651680685045, 0.8455596773618381]","[0.4102100602928611, 0.1010451007681602, 0.9092457868096252, 0.2671120760049107, 0.512335018360432]","[0.22367894715536651, 0.2090690678031042, 0.3098021350177339, 0.044533455088679785, 0.7563551751260148]","[0.7488485094003221, 0.5307162856289318, 0.010157414832809963, 0.43765952795257956, 0.4082268450415881]","[0.6770369477569028, 0.011789552403809078, 0.7167615875811013, 0.625555903692822, 0.20450579823687554]","[0.8296399765078115, 0.9130538138514128, 0.9155095947781862, 0.7043173317642815, 0.46740587477696716]",GDEG,GDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG
3,10,10,10,2,Time,0.11456371602816606,Nodes on fire,0.02654497733873029,3.410569906234741,"[0.9493648508173282, 0.05297536466566588, 0.37653477017346526, 0.17052166305912908, 0.13031274329267073]","[0.5994640252545791, 0.3262368105359502, 0.2713660277159252, 0.9793411377527713, 0.10956957390251887]","[0.5606505447077946, 0.03262812786769376, 0.35998747158862243, 0.1484576370136692, 0.7655896353628033]","[0.29471493455982256, 0.880556205303338, 0.8127827176110131, 0.5255346500452568, 0.20400727025806153]","[0.6547257669728046, 0.005592567129715453, 0.0017857696233396503, 0.37156741289045403, 0.9282671207572063]","[0.12395841046049694, 0.20041770156976002, 0.71073967917484, 0.7511434882069687, 0.4223184772880183]","[0.8175478749849573, 0.5931228775403974, 0.17132229297736978, 0.4786642983749553, 0.5370987308293683]","[0.78128812684665, 0.04555222319080765, 0.1944233298358995, 0.11010688989429229, 0.029533164562444814]","[0.5489872242166616, 0.5206600781161022, 0.7253224079737678, 0.7126903432406907, 0.8935501216050817]","[0.9648679314404738, 0.25414017629146624, 0.15514567942187119, 0.13531353704193294, 0.9592164779018053]",LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG
4,10,10,10,2,Time,0.01948314330961498,Nodes on fire,0.3123412653033675,3.410569906234741,"[0.8685070781118925, 0.09846730335920839, 0.9341952884515922, 0.4093814915593369, 0.8183665278682796]","[0.17058022969484088, 0.3877229043389143, 0.0602282961695535, 0.7873122755938824, 0.15374107999742137]","[0.7564444325149056, 0.061955922268634556, 0.6562894178288724, 0.4770059171551553, 0.4928690901022228]","[0.12430545287864792, 0.4335126866365234, 0.6807326792718785, 0.713897545845034, 0.07493683477711133]","[0.843827833090745, 0.5371493223059676, 0.9369328733899379, 0.9355879763428437, 0.9905028409177354]","[0.7929122916767117, 0.7803575004018536, 0.5537601350772433, 0.24480413251834188, 0.02963508745660115]","[0.5367315103730755, 0.18272906919058685, 0.5802461545332486, 0.32073554677159255, 0.4430102692953166]","[0.2406280736912586, 0.6727457078814129, 0.5314771556205372, 0.8448777191316706, 0.4745207598505983]","[0.18206984865633824, 0.05768626189812909, 0.46624518006084303, 0.5953519302306323, 0.3955384577693378]","[0.806369339492856, 0.06758576648209391, 0.6982121184151096, 0.74156566486441, 0.29568430773022736]",GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,LDEG,GDEG
5,10,10,10,2,Time,0.06382516700208596,Nodes on fire,0.056592203136802244,3.410569906234741,"[0.19538899300666868, 0.16313980823139185, 0.06732256503058875, 0.6302946503823004, 0.24866350235544565]","[0.7194668133955654, 0.039831332121936236, 0.7561417100606627, 0.9922450317996846, 0.9119114027278299]","[0.9311355016484804, 0.07285794536885293, 0.33285939489202954, 0.1687453172364184, 0.9417355829520574]","[0.1467572453620689, 0.9079847650995062, 0.8397681763186368, 0.9171736699636838, 0.7207719149043051]","[0.6577781069838418, 0.10489381032612, 0.7518732168205458, 0.5454438535362734, 0.6934710944781338]","[0.9193857282101393, 0.9920232594492502, 0.2737680143716349, 0.6644530625235483, 0.861363212562888]","[0.36236533246954683, 0.0040326511045502, 0.2736901874396791, 0.7844775921594952, 0.4554174314847894]","[0.8366431189266297, 0.017007177471178414, 0.20216766087824012, 0.013446811443017515, 0.6597155426852254]","[0.9416167068944755, 0.5336881505340031, 0.4307148822959588, 0.2222776967197112, 0.9746543642123298]","[0.06775434186071472, 0.3950097561347219, 0.5021975679335128, 0.8305735008976496, 0.6056114329764652]",GDEG,GDEG,LDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG,GDEG
