,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.08607974391960593,Nodes on fire,0.014162208490614225,7.381741762161255,"[0.22018291074529617, 0.16830557576440475, 0.5852167367635296, 0.24018051444103938, 0.6972468291742215]","[0.31448715828008766, 0.9703849282658906, 0.2666657103913269, 0.9907740629201369, 0.12867621906827642]","[0.20716683609792808, 0.5972765892604736, 0.08083763050075898, 0.14174383560942105, 0.433478898629706]","[0.3428920907236128, 0.6635740517828722, 0.7683573775981714, 0.9391344342014313, 0.18799990004255063]","[0.5094975970479695, 0.408369159724868, 0.8459184024362543, 0.792161939540102, 0.8353837561767913]","[0.4389137768732544, 0.33288556339462716, 0.7859504722049913, 0.07494637674490756, 0.6835050157603088]","[0.3631955761651906, 0.732316452516545, 0.6486917538691479, 0.6723808872038118, 0.3278404886004809]","[0.1997223292742254, 0.15856174746738894, 0.48484980183251103, 0.9279302264502131, 0.028943271219939337]","[0.7163966200739836, 0.16271857074919116, 0.5167454480959394, 0.9039648452967278, 0.4528995925260757]","[0.078328563092251, 0.4894293782320812, 0.6792735380859489, 0.5512433001341126, 0.38933180044869964]",GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
1,10,10,10,2,Time,0.006275673415797156,Nodes on fire,0.13445850194894116,7.381741762161255,"[0.5337685703039652, 0.41768389482798296, 0.862886665992127, 0.5506281235310182, 0.37331381927440854]","[0.6355848118790177, 0.4507220629586651, 0.09352529119341368, 0.473820340092895, 0.764637899089705]","[0.3154121637813534, 0.15785970922468628, 0.22959170226037684, 0.20576646715222302, 0.5947678727074326]","[0.9063061240494998, 0.7917681137179413, 0.6711814716595781, 0.25688468897328387, 0.4254858560123356]","[0.7377492740689229, 0.538043344226682, 0.7458863371698427, 0.47866340961291054, 0.1872413313330561]","[0.18506953843764817, 0.7682595756149386, 0.8288488618643534, 0.015564542574941997, 0.5765391556490718]","[0.07041353239098336, 0.8031714759778833, 0.48980724324163627, 0.9336796923022999, 0.6533243155364676]","[0.08851405864310191, 0.5342156395374438, 0.29200535133255323, 0.5180963924758952, 0.2696467876380707]","[0.7694928986647391, 0.5851303103291081, 0.8020021631777479, 0.033971389493475224, 0.18752139008673374]","[0.24682337944211974, 0.3818731250287708, 0.9893211299492818, 0.7054688203839193, 0.4092098690744769]",GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG,GDEG
2,10,10,10,2,Time,0.0749797266192248,Nodes on fire,0.12121207826510938,7.381741762161255,"[0.3244825269118816, 0.4509784825492492, 0.7997061144604216, 0.1518569745251216, 0.8037505357888806]","[0.3019853317501646, 0.07837679553763344, 0.8177616226337806, 0.6796818081213596, 0.7772560938004484]","[0.4733049778776125, 0.8763834147296959, 0.7852051841027851, 0.7263622989363212, 0.7133674800768451]","[0.9874610464370216, 0.9122185568675177, 0.3606294107459582, 0.37094514313383975, 0.1934061149563332]","[0.7410139573445742, 0.7859135161774544, 0.07953817757400639, 0.8597839128038147, 0.426081108217103]","[0.050854550069105886, 0.034086930535536464, 0.7018367810406542, 0.19464053667793368, 0.5498049641672406]","[0.22775795199868154, 0.9236407386692053, 0.6303435250479178, 0.4130739210390353, 0.15622192524313683]","[0.08785019640560132, 0.2692820348945282, 0.8642268471537023, 0.3675271370524401, 0.13622290528717373]","[0.048348901656706356, 0.24099390844860635, 0.14672306141884095, 0.09332849774628049, 0.896610393254858]","[0.8084403306664991, 0.8077106738826884, 0.8798267514268733, 0.10433905114069464, 0.5807531382466511]",GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,LDEG,LDEG
3,10,10,10,2,Time,0.005066601019621864,Nodes on fire,0.7935022003329336,7.381741762161255,"[0.8162886986304563, 0.044798698269586046, 0.8396220320028444, 0.7083537606436223, 0.34974382492187417]","[0.8939795182722361, 0.5089613555458034, 0.872724493792898, 0.1507671143247833, 0.9465966984080426]","[0.1004079600227965, 0.7178990216226789, 0.8313463872197667, 0.8803812856987829, 0.03437142573001095]","[0.5455450212246413, 0.4518524346739201, 0.4718710015831932, 0.5292920577870155, 0.04734709680778326]","[0.5196821475547296, 0.6405919125079084, 0.1653650026238478, 0.8282755246538857, 0.8556847034041107]","[0.33670900992719, 0.33234468608471224, 0.3316245505621396, 0.9525857089656821, 0.27920665255393573]","[0.5069065617901853, 0.6847997599996734, 0.2796098182519009, 0.15832060185574326, 0.10342496834452308]","[0.39970946634746163, 0.27939668282483576, 0.8602862064507095, 0.22613169498502594, 0.6470869079967394]","[0.1682568947714176, 0.8402333367563719, 0.11845051745563018, 0.6485944820624168, 0.5277573958463685]","[0.3994311838996518, 0.18225125201207037, 0.6532864208265032, 0.11825871347052752, 0.7164324383858386]",GDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG,LDEG
