,Chromosome size,Population size,Max. gens,No. objectives,Obj. 1 name,Objective 1,Obj. 2 name,Objective 2,Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0,10,10,10,2,Time,0.4110158470397255,Nodes on fire,0.009698718176301635,4.667813062667847,"[0.7513900847804412, 0.73363331272644, 0.44321857954729427, 0.9593752357923153, 0.6237119135172483]","[0.21381516274579215, 0.15080197191163935, 0.9829943048464835, 0.8186462782394477, 0.7445818398111087]","[0.6047326677745921, 0.36935107957980173, 0.1246224215002687, 0.41432748363215866, 0.6771554897027136]","[0.802966003053238, 0.29570851414391097, 0.9962018437141743, 0.005110874500544149, 0.37152504962637733]","[0.281796587663225, 0.5894297021947871, 0.8281471899115226, 0.8381708712030416, 0.15700611284419685]","[0.07886648311450184, 0.9919484821884058, 0.9890986995960023, 0.380431791820357, 0.5184256715699631]","[0.5358658764919341, 0.7207251929528681, 0.5050730389539454, 0.3407500790073258, 0.3749925687989225]","[0.905190036242747, 0.7242864460862506, 0.8902579095329313, 0.7925734065720221, 0.4253383229051215]","[0.7695521236163434, 0.3393636749724115, 0.05664857563435477, 0.5622572786677775, 0.8533397019610415]","[0.3751831485336826, 0.05284777286060427, 0.4453415484129697, 0.3886392611826498, 0.8999576354426253]",GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,GDEG,GDEG,GDEG
1,10,10,10,2,Time,0.01124660129693611,Nodes on fire,0.604221730019801,4.667813062667847,"[0.8522474553909054, 0.8491525358448037, 0.12018954935425874, 0.6163354536165443, 0.9218451757678106]","[0.8412190228617331, 0.9269482575269685, 0.23726900113292704, 0.7737286630995072, 0.8349399656388325]","[0.9561078567831989, 0.4787130841528545, 0.8758770489220695, 0.5226015086880649, 0.6601065314852432]","[0.8416241036873253, 0.4740492669019798, 0.4436642702162782, 0.355683607303776, 0.7477662261346262]","[0.277929772012271, 0.1322902902866937, 0.25883910929027154, 0.5484579841912438, 0.6326782061544387]","[0.3343793818046845, 0.8809683739975426, 0.47345555847963205, 0.9545106206707732, 0.8256405698140439]","[0.6849633841641669, 0.5350564697352278, 0.7282177229895299, 0.6557722276039331, 0.8806466243524305]","[0.8454622065411972, 0.6193586437934097, 0.5366993927281102, 0.5940686245136085, 0.7049396492763995]","[0.25762877718864485, 0.17773016515674211, 0.47553249949029075, 0.19905514190609686, 0.9613535389994448]","[0.9815033887510912, 0.4876127978657926, 0.4994301555336693, 0.720019158113582, 0.21488327925099238]",GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,LDEG,GDEG,GDEG
2,10,10,10,2,Time,0.15551033592109564,Nodes on fire,0.03495130546427616,4.667813062667847,"[0.850014570003285, 0.08253231026951002, 0.970071431741954, 0.3113315018167734, 0.10280088885479821]","[0.42736251907980993, 0.08999193416115792, 0.40140672945473, 0.27788592358130826, 0.011683223960890055]","[0.7715846612712804, 0.16900349861624064, 0.7116766219222985, 0.9580404388966883, 0.5063427563794366]","[0.6456056045746631, 0.9070255241064001, 0.09090946974317649, 0.48392470496348083, 0.6909275065308261]","[0.0538618154775512, 0.16665926244490326, 0.7198588947856802, 0.6719004744148508, 0.4594985241978572]","[0.44273570462225786, 0.6257799342308757, 0.4281849533971086, 0.26716170860162525, 0.11753834925470685]","[0.2787936638858559, 0.5358817058013312, 0.2385095189958395, 0.25181814653855783, 0.2244645725544996]","[0.9479789613299133, 0.7797909524468105, 0.896668009335708, 0.7542356796979796, 0.19974398997234755]","[0.3272501129069565, 0.7013391157785642, 0.0503083988640326, 0.2522861901471921, 0.7953020215583059]","[0.6090397333341272, 0.6923692086557646, 0.6205675863858161, 0.9927487233532305, 0.892171889141837]",LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
3,10,10,10,2,Time,0.010677085076135517,Nodes on fire,0.7168309507151814,4.667813062667847,"[0.4230323877558305, 0.37441890329397254, 0.7883793435931924, 0.7183004103374461, 0.3377323324427236]","[0.3766068189201661, 0.8581269208138754, 0.4371801624506537, 0.8766689120766729, 0.36732168650764185]","[0.49334196600008917, 0.4890352013964767, 0.7219584927457356, 0.7068665045146535, 0.8598883424289163]","[0.5178083055640212, 0.9967169084754457, 0.7475018386105753, 0.8216273370224774, 0.10793995495938802]","[0.180409528821587, 0.6834553109491962, 0.3332876395009472, 0.4328011963478614, 0.17163271516528578]","[0.18366818551397612, 0.48195677802961423, 0.11670981958639126, 0.021148179067242534, 0.7937243386215481]","[0.4416940813574006, 0.5395124519563124, 0.017320659694021967, 0.23189968332202915, 0.8078483445971713]","[0.3033847646254795, 0.27382003381108644, 0.14626548393536598, 0.41440861974879384, 0.15354039746290438]","[0.47798602602701734, 0.008785669656933837, 0.06902268602436368, 0.8944077977393199, 0.27110576256870944]","[0.4012428212206174, 0.03821039838577234, 0.14957921328531576, 0.10400253347317656, 0.5045520509082017]",LDEG,GDEG,LDEG,LDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG
4,10,10,10,2,Time,0.13920591812897487,Nodes on fire,0.08272025322404253,4.667813062667847,"[0.9366696086480961, 0.8762134854724294, 0.2531567849213885, 0.17421312258462418, 0.5211028652624561]","[0.9144859794921867, 0.6766997949686331, 0.10245189609210237, 0.8200036405294124, 0.8142295144802844]","[0.2044957956009935, 0.5860637245922352, 0.6530184002416906, 0.9410475248022073, 0.3398718669872087]","[0.30168353774782297, 0.8696290479756718, 0.6347946801885751, 0.8993183632664352, 0.4035786324086985]","[0.9377148701909931, 0.18921369817211442, 0.5236292933734633, 0.7888305464043143, 0.012654395919756034]","[0.3591884005855893, 0.6210313716662174, 0.616945579071656, 0.09285451278654211, 0.22913607849471074]","[0.4001361850554773, 0.08238664709703991, 0.9532198003269705, 0.7233612085209494, 0.23956179354590357]","[0.9702791458636559, 0.7942537498525575, 0.9371328230163498, 0.5552598767890429, 0.0007657518296518839]","[0.862250032407192, 0.4653843804250335, 0.7607696820986393, 0.28371461934009723, 0.09403425936628729]","[0.7009774587410483, 0.749454711958616, 0.746073749405526, 0.024460982172502588, 0.22436069740404185]",GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
5,10,10,10,2,Time,0.5951568908965758,Nodes on fire,0.0010826283679992166,4.667813062667847,"[0.6587755225563987, 0.5448520825636575, 0.2760246659677942, 0.14403900227747324, 0.2506250397250601]","[0.9835361222547497, 0.24377048119896183, 0.9358023381967827, 0.29869715087511006, 0.19683600869488205]","[0.5994574391456959, 0.23144694017155298, 0.8901415450559622, 0.13564073911615593, 0.7053768806968813]","[0.4060290230291649, 0.6364728038135795, 0.6443451117850405, 0.9019581121666571, 0.6544778050703811]","[0.012310211275029848, 0.44546546937718856, 0.5758756825520212, 0.8949932536523539, 0.3850485055585179]","[0.8939504390407574, 0.6663183350143413, 0.16925016758397493, 0.6104169492537224, 0.027298815067839266]","[0.48067553815367525, 0.4406771761504792, 0.917741921900946, 0.23950629195614348, 0.05289187386217198]","[0.3446520939826717, 0.9664874155278329, 0.6741986966583953, 0.0009552695792114374, 0.321700466606177]","[0.0581217454716797, 0.7758535303042975, 0.42400430606390727, 0.3379036955662844, 0.08314780901451757]","[0.6997628589108499, 0.6706083367257208, 0.5160665415707161, 0.8793755396130234, 0.9904291499534319]",GDEG,GDEG,GDEG,GDEG,GDEG,GDEG,LDEG,LDEG,GDEG,GDEG
6,10,10,10,2,Time,0.04026927997177021,Nodes on fire,0.16247388096939508,4.667813062667847,"[0.4860751552504089, 0.5393039249188912, 0.4976008257322191, 0.5648733654017843, 0.5710629009160335]","[0.8708368435118334, 0.1733949715961972, 0.32194734093878197, 0.4805917751110754, 0.09518187094778352]","[0.43617721926216657, 0.1601106061826384, 0.9433773578025113, 0.41487852685062465, 0.32067944852672725]","[0.4078442730653712, 0.289123937737348, 0.31752404152187563, 0.6605360762043144, 0.692355490215325]","[0.568335573090873, 0.4858374368564966, 0.00631199347632716, 0.4943453514916196, 0.43636739841229255]","[0.38449237724482566, 0.5366395196733567, 0.4937779273775067, 0.35921684705417134, 0.9725584291632211]","[0.7582279497210832, 0.9159728845547993, 0.8559487980153977, 0.2525939858520795, 0.5071030603246641]","[0.9119103401084159, 0.1355475741897516, 0.09221223927923239, 0.8559272638089698, 0.19113894849311008]","[0.5575304481287536, 0.5081419269513285, 0.022379413488345823, 0.20138761088649837, 0.34407306746137334]","[0.18408876609008196, 0.8125825756191016, 0.07415422460946608, 0.037798054406765424, 0.1054786867201748]",GDEG,GDEG,GDEG,LDEG,LDEG,LDEG,GDEG,LDEG,GDEG,GDEG
